Text,Target,file name,Labels
Company Sales million Industry Employees Location,Company,45318525_0_2316618400996291591,6
Record Name Industry Country Manufacturer Source,Company,45322313_4_2557737487200701000,6
Company Symbol Daily,Company,4751392_1_7561974939330324140,6
Name Type AssetsMillions LocalBranches,Company,47687993_1_2128651732460781549,6
SlNo Department Date receipt requisition vacancy reported,Company,49514612_0_3018439649942526297,6
Rank Company State Industry Revenue bil Employees,Company,52240404_0_2014948340038394270,6
Rank Company State Industry Revenue bil Employees,Company,52240404_12_9204600607753707104,6
Rank Company State Industry Revenue bil Employees,Company,52240404_1_1361067467707355053,6
Company Industry Overall score,Company,52572391_0_7094721874885552733,6
company industry overall score,Company,52572391_0_8684896999787304275,6
Name Type AssetsMillions LocalBranches,Company,53142239_1_4578105104783075601,6
Company Country Market Value bil Sales bil Industry,Company,53618211_1_2673446091467290852,6
Company Symbol Daily,Company,53852445_1_9091329271177363354,6
Company Industry Employees,Company,53982396_4_3787329654143109652,6
company name china france shutter coltd 烟台安宁居家自动防盗窗有限公司,Company,5486184_0_6049456111617309980,6
rank company country industry sale bil profit bil asset bil market value bil,Company,56224555_0_3713922722778385817,6
RANK COMPANY  YEAR GROWTH REVENUE million STATE,Company,56495206_0_4505475076259276721,6
RANK COMPANY  YEAR GROWTH REVENUE million STATE,Company,56834172_0_5710924050177414995,6
address po box blackwood nj united states,Company,5829717_0_6864027211840908773,6
company name yingkou chenxing industry co ltd,Company,5833105_0_5568979829268945694,6
Name Type AssetsMillions LocalBranches,Company,59987833_1_2594691957056394233,6
RANK COMPANY  YEAR GROWTH REVENUE million STATE,Company,6008357_0_2396357747642346383,6
Company Region Revenue billions,Company,60959543_0_4931022751531760269,6
Name Country Sales US mil Net Income US mil Market Value US mil Industry,Company,62112420_0_1512359368759345872,6
Name Industry Price Yield,Company,62829759_0_2671177930807868597,6
company industry country index,Company,63389809_0_8179819543692215824,6
company industry symbol,Company,64092785_0_4696367782987533337,6
Rank Company State Industry Revenue bil Employees,Company,65186782_0_5804072909440491396,6
Rank Name State Industry Revenue bil Employees,Company,65189388_0_5865341865446874232,6
Most Active Organizations Active Organizations Active Organizations Active Organizations Active Organizations,Company,6571612_0_4983218044919858440,6
Rank Name Country Industry Sales bil Profits bil Assets bil Market Value bil,Company,67746678_0_6331643008168708394,6
Rank Name State Industry Revenue bil Employees,Company,71375784_0_9087567527682243471,6
Stock Sector PE Assets Qty Value  mth chng LTP Chng High Low Open Tips,Company,71906453_0_7287774935077400431,6
Name Type AssetsMillions LocalBranches,Company,75028563_1_8693885428421840586,6
Rank Program Manager States Assetsas Q,Company,7548515_0_8047252373368666726,6
industry companyorganization video us type video,Company,80184932_0_4240003884724905487,6
Company Revenue million Generating Capacity Power Stations wind farm Net Income,Company,86325681_0_2081149093246026700,6
Currency Name Bank Nostro AC Swift Code,Company,89497945_0_3654337410478898345,6
rating company industry temkin customer service rating tcsr company tcsr v industry tcsr,Company,90723763_0_874013697986950454,6
Name Country Sales USmil Net Income USmil Market Value USmil Industry,Company,92559788_0_507775366092031581,6
rank company industry founder revenue per year revenue per second,Company,93702496_0_39013305210829591,6
company symbol industry date added,Company,96203994_0_2127964719640427252,6
Company Country Market Value bil Sales bil Industry,Company,9720141_0_4179813072171750238,6
Industry Position Location Source Company,Company,99921003_0_5661115012444108506,6
title author source,Book,10151359_0_8168779773862259178,4
rank title genre creator date freq,Book,25313031_0_7618936086293867880,4
Language Publisher Date Contact Info,Book,45530643_2_5128915617716394843,4
title isbn year publication authors,Book,58255527_0_2961469008089172433,4
rank title great novel year author religious affiliation author,Book,6869358_0_1379459120563510331,4
Language Publisher Date Contact Info,Book,76024718_2_6908343154941649258,4
Language Publisher Date Contact Info,Book,76024718_4_1950435394014907178,4
PORT CURRENCY PTA SERVICE FEE,Country,10441151_6_8222385521125108252,7
Country Language File,Country,11078802_0_7941208004513610907,7
PORT CURRENCY PTA SERVICE FEE,Country,11249915_6_9093194031474541036,7
PORT CURRENCY PTA SERVICE FEE,Country,11249915_6_9132896720542462617,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,1161089_0_5465370998821558786,7
country name population area sq km population density sq km area sq mi population density sq mi,Country,11688006_0_8123036130090004213,7
rank iso code a a num iso code a a num iso code a a num country name countrysize population est lifeexpectancy infantmortality,Country,12057659_0_3661191872772619158,7
country country codecharacter country codecharacter currency currency code,Country,12183399_0_6725061928072492226,7
Country Country Language Language,Country,12371501_0_4530302292430566814,7
Country Language Launch date,Country,13210603_0_200258762100398800,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,14322425_0_281964118534741951,7
CountryOrganization Currency Total stock in,Country,16509539_1_7660325791170281336,7
Country Receiving location affiliated Currency,Country,18335243_0_2873573649899205343,7
PORT CURRENCY PTA SERVICE FEE,Country,18504214_6_2124923456539113038,7
Name Country,Country,1855026_0_2649294815821763297,7
Name Country,Country,1855026_0_4062150166041484956,7
Capital Currency Language,Country,19061339_0_5171936399481891474,7
Language CountryRegion Culture ID Installation file name Availability,Country,20163699_0_8822874041223278819,7
Endonym Country Language,Country,20195534_1_8120886615859121961,7
PORT CURRENCY PTA SERVICE FEE,Country,23254343_6_2668761267278059108,7
Country Joined Language Notes,Country,24006562_0_3177461266771794284,7
country  gdp nominal usm per capitagdp us population government conscription,Country,24036779_0_5608105867560183058,7
Country Currency Chexx Inc Services Available Chexx Inc Services Available,Country,24074438_0_5878229540726224471,7
Country Currency Code Symbol,Country,24318057_0_506797575999323351,7
country territory population downloads thousand downloads per thousand inhabitants,Country,2482838_3_7019945817423117641,7
country population member popmem,Country,24850757_0_5978004733768297283,7
iso,Country,24859353_0_7027810986004269522,7
Language Region Keyboards,Country,25373708_0_87862299715169195,7
entity currency alphabetic code numeric code,Country,26310680_0_5150772059999313798,7
Country Currency Selling TT amp OD Buying TT Clear Buying ODTCHQ,Country,27411298_0_6391178424656872117,7
Region Currency Price Price in,Country,27944275_0_3595539032297876616,7
Country Area square km Population Population Density per square km GDP per caput PPP terms,Country,28856708_0_1899933704049400626,7
PORT CURRENCY PTA SERVICE FEE,Country,29187807_6_7732057143810961558,7
Locale Language Country Charset Downloads,Country,29794780_2_7959320699748946876,7
PORT CURRENCY PTA SERVICE FEE,Country,30965004_6_4856622180559928314,7
Capital Currency Language,Country,31135207_0_1440209822839624711,7
Language link WordPress localization Locale Country,Country,31552687_0_3065511486927360820,7
Country Language Population million GDP billion dollars,Country,32005983_0_443343234959325691,7
PORT CURRENCY PTA SERVICE FEE,Country,32645635_6_5012112380716631606,7
Teams Internet TLD Currency ISO,Country,33344442_0_871018354923952731,7
PORT CURRENCY PTA SERVICE FEE,Country,33676549_6_910230710890867995,7
country currency name currency code rate bank willbuy rate bank willsell you,Country,34899692_0_6530393048033763438,7
Capital Currency Language,Country,36427332_0_5069069681421746694,7
Country Joined Language Notes,Country,37185520_0_4615536886172194928,7
Country Language Script,Country,37550492_0_8832508203765065016,7
country capital area sqkm population  est,Country,3917335_0_7791699395300625164,7
PORT CURRENCY PTA SERVICE FEE,Country,40387275_6_7793652942844303566,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,40623493_0_6956484430448544525,7
rank country territory population,Country,41194422_0_7231546114369966811,7
rank country territory population,Country,41194422_1_1172256090552737974,7
Country Language Launch date,Country,41532913_0_4899559436444266508,7
country face unit year type grade exchange value cost worth source comments,Country,41612329_0_7158224623202100303,7
country currency a a b b c c,Country,41648740_0_6959523681065295632,7
Country CurrencyCode Client Buys Pays Canadian Client Sells Receives Canadian,Country,41736610_0_4529393767763359475,7
PORT CURRENCY PTA SERVICE FEE,Country,42725605_6_1315753541762498468,7
Country Joined Language Notes,Country,43729470_0_5709342811663792178,7
Country Year joined Language Notes,Country,43729470_1_5047305886112599189,7
Draw Country Language Artist Song English translation Place Points,Country,4429085_0_7941526814649326206,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,46728986_0_444959441861417753,7
Country Language Effective Date File,Country,47112694_2_551681431764606717,7
Country Language Launch date,Country,47337086_0_917837927817033633,7
File Language Country Translator incl doc version,Country,47454446_0_1238914883279766480,7
PORT CURRENCY PTA SERVICE FEE,Country,48086771_6_7784317645417045317,7
De Facto IndependentBreakawayDisputed State FormerDisputed Sovereign Power Population Densitykm Areakm Population,Country,48891347_0_2002008007976696188,7
Country Currency Currency Code,Country,49019651_0_5351938389276238457,7
country currency alphabetic code numeric code symbol subdivision,Country,49087820_0_461228320225084868,7
word Country Currency code,Country,49777313_0_8589406213484712417,7
PORT CURRENCY PTA SERVICE FEE,Country,5002114_6_4320409333965117351,7
Code Language Territory Translation,Country,51107023_0_1273089064311319083,7
PORT CURRENCY PTA SERVICE FEE,Country,5125681_6_5647583576580317440,7
Rank Country GNP per caput Mass Languages Official Languages,Country,51596746_1_694535610771387180,7
Country Joined Language Notes,Country,51868396_0_1119678589902929388,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,51875060_0_2076519479036158547,7
Country Area square km Population Population Density per square km GDP per caput PPP terms,Country,52340077_0_7623033473986759010,7
Country Currency Currency Code,Country,52403935_0_8558406730643811767,7
COUNTRY CURRENCY Money,Country,54017313_0_3756701416801068549,7
country name,Country,55004961_0_2904467548072189860,7
country name,Country,55238374_0_3379409961751009152,7
Coptic Orthodox country,Country,55696186_0_8889766031116245122,7
country currency alphabetic code numeric code symbol subdivision,Country,55961337_0_6548713781034932742,7
Countryflag Areakm Population July  est Population densityper km Capital,Country,56975870_0_9027279863115811222,7
Country Currency Denominations,Country,57128500_0_7456845944994373500,7
PORT CURRENCY PTA SERVICE FEE,Country,57793840_6_5103540736532729331,7
country name,Country,57943722_0_8666078014685775876,7
Country Language Launch date,Country,59421882_0_3387840925737662353,7
Country Code Currency entry lodged   inclusive entry lodged   inclusive,Country,60646164_0_7086729388967946050,7
country currency alphabetic code numeric code symbol subdivision,Country,61069974_0_1894536874590565102,7
country name,Country,61121469_0_6337620713408906340,7
PORT CURRENCY PTA SERVICE FEE,Country,6227218_6_8192601456922178563,7
Nom GDP PPP Currency,Country,62314702_0_5270085436746117315,7
Rank Country GNP per caput Mass Languages Official Languages,Country,62661549_1_4033826755481163536,7
Number Name Countryname language Capital country Currency,Country,65118854_0_3532892672194638773,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,65961730_0_134446716199085965,7
Draw Country Language Artist Song English translation Place Points,Country,67553951_0_4077621944520716551,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,67583830_0_8311359334436377719,7
country currency symbol currency name thousand format decimal format,Country,68443503_0_1864745991457698216,7
rank country population date information,Country,69537082_0_7789694313271016902,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,71261630_0_4669122890071218234,7
PORT CURRENCY PTA SERVICE FEE,Country,73664294_6_5973090938640571720,7
Country Language Service hour Phone number,Country,7434454_0_4815967421822894315,7
country capital population,Country,74771135_0_671393216271432897,7
middle east population life ex religion eschatology e iq literacy inc ppp,Country,76275868_0_4528346580716713695,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,77457345_0_1060203785281386364,7
country currency sub currency,Country,78650283_0_5937576517849452289,7
country capital italian,Country,79327346_0_5787863739697336601,7
Name territorywith flag Areakm PopulationJuly  estPopulation July  est Mexico   January   UTC wwwstategov Source type FILTERED BAYESPopulation  est El Salvador   February   UTC wwwstategov Source type FILTERED BAYESJuly  est CIA World Factbook Mexico  September   UTC wwwciagov Source type FILTERED BAYES Population densityper km Capital Officiallanguage,Country,79730374_2_6466796420533616251,7
country pop den area population,Country,8009320_0_5507755752653817624,7
Country Language Broadcasters,Country,80885013_0_2043709142206907283,7
country name,Country,8286121_0_8471791395229161598,7
country currency symbol currency name thousand format decimal format,Country,83987849_0_5969920363690793217,7
Country Total population  million Annual population growth rate Population density person per square km Average number person per household,Country,86327266_0_6557745357715678345,7
Country Phone Submit Email Case Languages Business Hours,Country,86340530_0_3832762433010567200,7
Country Currency Switch,Country,86921086_0_4332527216340486404,7
De Facto IndependentBreakawayDisputed State FormerDisputed Sovereign Power Population Densitykm Areakm Population,Country,87104648_0_3963829407788325809,7
CountryArea Language Singular Plural Number Notes,Country,87164899_0_4640733786246362698,7
Country Shipping cost Currency Receive free shippingFor order Transit time,Country,90646916_0_2176827423262506501,7
Nation Capital Languages Organisation Notes,Country,90872762_0_6593129930785652491,7
Nation Capital Languages Organisation Notes,Country,90872762_2_6397052065558578405,7
Country GDPReal Growth Rate Imports Exports Currency,Country,92054043_0_8581031082268154051,7
country capital population,Country,94397716_0_8327583744512947214,7
country registred player registred player registred player registred player referee referee rink rink participation population,Country,95064553_0_174736325349954177,7
Name territory flag Area kmsup Population  Population density per kmsup Capital,Country,96068725_0_610234897325770080,7
PORT CURRENCY PTA SERVICE FEE,Country,96814359_6_7237138193268234564,7
country currency alphabetic code numeric code symbol subdivision,Country,97941125_0_8220652154649529701,7
Country Currency Abbreviation,Country,9931816_0_2647599887020622155,7
song title time price,Song,10444272_0_6840822559842330948,22
file size datetime artist title year album comment length bi c s,Song,34501970_0_2477755352098394078,22
Song Original Name Language Singers Country,Song,42660088_0_3948662081285031080,22
Song Name Arranger Publisher Origin Language Comments,Song,6979972_1_1881100639400203869,22
Song Original Name Language Singers Country,Song,76572868_1_340216996696865826,22
file size datetime artist title year album comment length bi c s,Song,8567121_0_6515641868675853546,22
Year Cover Title Genre Price Tracks,MusicalWork,10937282_0_8167677210173294859,16
Name Artist Time Price,MusicalWork,13561753_0_607267138925868026,16
name artist time price,MusicalWork,17769450_0_8003688464359007517,16
 Jul  Gipsy Kings Arena CivicaMilan Frompound COMPARE,MusicalWork,27100349_0_4569354779422013472,16
Name Artist Time Price,MusicalWork,28788428_0_7847978656182431680,16
Name Album Time Price,MusicalWork,47101798_1_4424372688353800689,16
Name Album Time Price,MusicalWork,60884685_1_5420701306478974044,16
Name Album Time Price,MusicalWork,63198107_0_5688435789215389159,16
„mother brother“ jeff cascaro  herzog records,MusicalWork,76168674_0_6204946005110663651,16
Name Artist Time Price,MusicalWork,78616821_0_2458612333287914096,16
dial location call letter format address telephone,RadioStation,12125836_0_1134348206297032434,20
call letter frequency city,RadioStation,46646666_0_5802598112171303204,20
dial location call letter format address telephone,RadioStation,51741865_0_9203644246202164492,20
Radio Country Language,RadioStation,89343298_0_2773729909713630809,20
local health board hospital name link surgeons,Hospital,12151277_0_1262954734066545952,12
hospital hospital id director supervisor training contact,Hospital,16949304_0_2573050770332101882,12
hospital hospital id director supervisor training contact,Hospital,32460905_0_5195150472060854231,12
hospital name city staffedbeds totaldischarges patientdays gross patientrevenue ,Hospital,32812626_0_5428724146873158593,12
centre country patients,Hospital,64734047_0_5880705307495695536,12
site board child health ob amp gyn psych med surg,Hospital,68442591_0_8506821153001360777,12
hospital name city staffedbeds totaldischarges patientdays gross patientrevenue ,Hospital,69954408_0_713623261917118617,12
tameside general hospital breast care unit ashtonunderlyne,Hospital,90325533_0_6668263142989366843,12
funding received party leader allowance ,PoliticalParty,12746760_0_6703465836620308483,19
party  min max,PoliticalParty,18036618_0_7337008284167773018,19
party prediction result difference,PoliticalParty,19073331_0_2742992342272078110,19
name party percentage of,PoliticalParty,28154036_0_909001972154294543,19
total funding received € amount funding brought forward  € overall total funding available spending  € total expenditure  funding received € balance funding carried forward  €,PoliticalParty,28646774_0_3256889721737611537,19
party st preference vote vote change vote  seat change seat ,PoliticalParty,33242247_1_7232384061498591611,19
funding received party leader allowance € funding received electoral act € total exchequer funding €,PoliticalParty,39606331_0_1646213676302448706,19
party  min max,PoliticalParty,42764224_0_515744189130384109,19
total funding received party leader allowance € total funding received electoral act € overall total exchequer funding €,PoliticalParty,44005578_0_5400481538370055338,19
party first preference vote valid poll seats,PoliticalParty,5972322_0_3150366936082777235,19
party  min max,PoliticalParty,70883081_0_5357790421435123524,19
party  min max,PoliticalParty,76373906_0_6904594838446307331,19
political party appropriate officer total value donation disclosed,PoliticalParty,78005071_0_8643954006825971723,19
name water body net area square kilometre total area square kilometre elevation metres,Lake,13395751_3_369722706637560735,13
lake location area sq miles,Lake,41819807_0_3139249984404131679,13
lake name access acre class category,Lake,53989675_0_8697482470743954630,13
storage local government area plan no,Lake,54112392_0_160015365721559357,13
body water alternate name location,Lake,93078729_0_1451251196788678526,13
lake location basin country residence time,Lake,98929678_0_3700213490979945526,13
Trade name Active ingredient Pharmaceutical company,Drug,1345836_0_6187292861722502195,9
Trade name Active ingredient Pharmaceutical company,Drug,1375361_2_3482684768420568287,9
Trade name Active ingredient Pharmaceutical company,Drug,2297876_2_6966366172015676804,9
trade name active ingredient pharmaceutical company,Drug,26456957_1_5832870075173199979,9
trade name active ingredient pharmaceutical company,Drug,53657269_1_5161231250741028950,9
Trade name Active ingredient Pharmaceutical company,Drug,57824455_2_7523691173144221165,9
Trade name Active ingredient Pharmaceutical company,Drug,59834519_2_3174952945641379006,9
product name price order link,Drug,62452343_1_5629418197455584604,9
 Avengers M,Film,13480532_0_6327960269747694783,11
 Chronicle M,Film,13943628_0_4792393506188599403,11
fansrank title year director overallrank,Film,16767252_0_2409448375013995751,11
fansrank title year director overallrank,Film,20135078_0_7570343137119682530,11
fansrank title year director overallrank,Film,21362676_0_6854186738074119688,11
rank title year director overallrank,Film,25404227_0_2240631045609013057,11
fansrank title year director overallrank,Film,35188621_0_6058553107571275232,11
fansrank title year director overallrank,Film,38428277_0_1311643810102462607,11
rank title year director overallrank,Film,39173938_0_7916056990138658530,11
movie rel director reviewed,Film,40844462_1_6230938203735169234,11
Added Title Speed,Film,44796471_0_1446886787377516980,11
title year medium type director writer length matting,Film,50245608_0_871275842592178099,11
date movie year director,Film,53822652_0_5767892317858575530,11
sequence date new title country director year grade theater short additional info ignore,Film,54719588_0_8417197176086756912,11
rank title year director overallrank,Film,58891288_0_1117541047012405958,11
fansrank title year director overallrank,Film,69881946_0_1105130426898457358,11
title director released rating view date amazon,Film,73988811_0_2775758476756716904,11
title star costar director sound note,Film,75519570_0_592005298605244805,11
fansrank title year director overallrank,Film,77694908_0_6083291340991074532,11
TITLE DIRECTOR RELEASE,Film,78177394_0_4499584510888289776,11
fulltitle ,Film,83447852_0_6927237628009465871,11
fansrank title year director overallrank,Film,84548468_0_5955155464119382182,11
HEALTH HIGH SPEED EXTERNAL DOWNLOAD LINKS SPEED Downloads,Film,8539374_0_7877246761503038091,11
great white pelican pelecanus onocrotalus qe,Bird,13719111_1_5719401842463579519,2
species day max site recorded,Bird,18979064_0_2886467516757653420,2
common name scientific name sc status sc review status,Bird,23856534_0_6263475333577800647,2
name locations,Bird,25584563_0_7261221905072002362,2
common name scientific name detail warks worcs staff wm,Bird,288266_0_7360889988107544337,2
south africa october ,Bird,35206415_0_7787519127740003702,2
bird name bird family bird group scientific name,Bird,45075051_0_5426860300967245967,2
species breeding spring summer fall winter,Bird,45116302_0_146731452248632004,2
species day seen many,Bird,51467793_0_3799394109131212638,2
common name scientific name family,Bird,53441401_0_5820723041518661695,2
specie scientific name day  high count total count,Bird,59296459_0_4532872443713262457,2
common name scientific name detail warks worcs staff wm,Bird,61373349_0_4865186789551765185,2
common ostrich struthio camelus,Bird,62559366_0_3190486164961132257,2
bird location date photo,Bird,69215547_0_2410132625527178485,2
species day max site recorded,Bird,71142079_0_7399742082419392758,2
common name scientific name warks worcs staff wm,Bird,73152706_0_685847416556934033,2
common name genus specie iucn,Bird,74685423_0_8061289760697103949,2
page order family genus amp specie common name bna no,Bird,77281650_0_8585097775884803036,2
common name genus specie iucn,Bird,84675086_0_6386416780680710863,2
species days max sites,Bird,86212703_1_7412739791053555910,2
english french romanian german latin,Bird,8980790_0_2238070999991442093,2
mountain height meter range conquered on,Mountain,14311244_0_7604843865524657408,15
summit height,Mountain,19361188_0_1640726405141876003,15
s name peak altitude,Mountain,21337553_0_8832378999628437599,15
number fell name height ft area st ascent total ascents,Mountain,25256280_0_3777936437828877497,15
mountain height meter range conquered on,Mountain,49801939_0_6964113429298874283,15
fell name height height ft appears in,Mountain,88353875_0_4876234304797064286,15
no name foot met grid ref area sum trips,Mountain,99070098_0_2074872741302696997,15
Language Difficulty Popularity Official language,Language,14600983_0_6164010828511632198,14
Language CountryRegion Culture ID Installation file name Availability,Language,20163699_0_5818010069188461996,14
Record Name Language Primary Country Source Rank Speakers,Language,29246469_1_8730528225992017056,14
Code Language Territory Translation,Language,3876573_0_5902554158837152331,14
Territory Language Locale Fonts Package Names,Language,57922100_0_7750219757803635230,14
Language Green Countries Red Countries Orange,Language,72736276_0_1907049776942169976,14
Rank Language Number speaker spoken natively  population listed official language countriesrsquo constitution,Language,82207420_0_5460194503407338141,14
waterbody id resource name alt name type,BodyOfWater,14854950_0_7369669871837809428,3
waterbody id resource name alt name type,BodyOfWater,43819019_0_4392783738290559910,3
waterbody id resource name alt name type,BodyOfWater,53239801_0_6039040367317189758,3
waterbody id resource name alt name type,BodyOfWater,58089410_0_6172671259261802663,3
waterbody id resource name alt name type,BodyOfWater,84364483_0_200040456240997258,3
waterbody id resource name alt name type,BodyOfWater,85276835_0_554358776500088676,3
waterbody id resource name alt name type,BodyOfWater,8952296_0_1984648410364541374,3
princeton university private research university ivy league  ,EducationalInstitution,16276214_0_8200189814034111177,10
collegesort citysort representativesort statesort district zip codesort,EducationalInstitution,29273054_0_334665696887091888,10
university name country state province,EducationalInstitution,59480147_0_5932941413717719144,10
college state index website,EducationalInstitution,64626513_0_6402630457637049755,10
animal young female male group adjective meat,Animal,17871230_1_6194965835407257694,1
animal mammal type sleep pattern name young locomotion habitat water source special characteristic,Animal,33167985_0_5220049369716352813,1
majorgroup family specie essexthreat,Animal,35884932_0_7327034580321429902,1
inverted common name scientific name listed lead region listing status,Animal,44714784_0_9148174727002289290,1
common name animal scientific name category,Animal,48456557_0_3760853481322708783,1
animal male female baby group animal family,Animal,62564020_0_3836030043284699244,1
animal title class phylum,Animal,79966524_0_1484492112455633784,1
common name scientific name season,Animal,90196673_0_5458330029110291950,1
animal young female male group adjective meat,Animal,92125277_1_6347326681377078368,1
university name university location university,University,19272019_0_1508498249156534553,24
Country University Language,University,22358454_1_3848574233688785649,24
Country University Language,University,30426817_0_4481953970933098012,24
Country University Language,University,45071388_1_8731461891089205976,24
Country University Language,University,49572963_0_5733511872650693900,24
type aid percent receiving aid average amount received,University,50246043_0_7259493986424951702,24
college state index website,University,69635781_0_5000183208256301209,24
state town institution sponsored program sponsored program sponsored program sponsored programs,University,71671375_0_1715763047979962300,24
college university center office program city state,University,7610186_0_782756596763357915,24
university name country state province,University,76409500_0_7286308079632259972,24
Country University Language,University,7802673_1_1957523967714325091,24
code airport name city state,Airport,19654359_0_3020273135042459469,0
country city airport lett lett,Airport,20964053_0_3957335528383551719,0
code airport name city state,Airport,21585935_0_294037497010176843,0
destination airport city country airline,Airport,26176553_0_1286537316787525249,0
rank airport location codeiataicao totalpassengers monthly rankchange change,Airport,34041816_1_4749054164534706977,0
code airport name city country,Airport,37523732_0_1982592810622787601,0
rank airport location codeiataicao totalpassengers rankchange change,Airport,39107734_2_2329160387535788734,0
code airport town city distance,Airport,73235714_0_8084490602540041372,0
code airport town city distance,Airport,73687511_0_4377261565497906819,0
code airport name city state,Airport,74718406_0_3914457597478137388,0
code airport name city state,Airport,7929299_0_3253718003116029649,0
city state airport airport code,Airport,89121813_0_8488792415402446658,0
code airport name city state,Airport,9686394_0_5980699488362107028,0
world rank city country city population metro population mayor,City,21329809_0_5526008408364682899,5
world rank city country city population metro population mayor,City,29886325_0_1448173912684571475,5
world rank city country city population metro population mayor,City,43469354_0_6029017163991310319,5
world rank city country city population metro population mayor,City,4444204_0_951426790527152756,5
State Fall catch,City,44877357_1_2247154626618644005,5
Country City Date Contact Language,City,55785349_2_6073688283175913589,5
name state population school avg school rank total program distance louisville,City,56699591_1_587931249299021802,5
world rank city country city population metro population mayor,City,70404164_0_5498195978476333642,5
world rank city country city population metro population mayor,City,75154185_0_1607627349983289012,5
world rank city country city population metro population mayor,City,77632062_0_2292892375652659825,5
world rank city country city population metro population mayor,City,78891639_0_3299957631631122948,5
world rank city country city population metro population mayor,City,91474256_0_964747655387573523,5
title publisher north america europe japan cost size,VideoGame,22864497_0_8632623712684511496,25
rank peak day chart system game,VideoGame,24142265_0_4577466141408796359,25
year game genre platform developers,VideoGame,29414811_12_251152470253168163,25
year game genre platform developers,VideoGame,29414811_13_8724394428539174350,25
year game genre platform developers,VideoGame,29414811_2_4773219892816395776,25
year game genre platform developers,VideoGame,29414811_6_8221428333921653560,25
platform developer game title unit sold,VideoGame,36102169_0_7739454799295072814,25
rank title category publisher,VideoGame,4501311_8_8306082458935575308,25
game genre platform release,VideoGame,46671561_0_6122315295162029872,25
title category rating release,VideoGame,47709681_0_4437772923903322343,25
system title developer publisher genre aso episode reviewer score,VideoGame,65788877_0_1168893171575330375,25
release date title platform manufacturer reasons,VideoGame,66329615_0_3585856495110277641,25
rank title category publisher,VideoGame,73242003_5_4847571983313033360,25
title developer publisher release date esrb,VideoGame,75367212_2_2745466355267233390,25
Region Official Name Language Countries Local publisher Registration Requirements,VideoGame,81595602_0_7077962990487220424,25
table name table type rating rating historic era author download,VideoGame,91706020_0_5186837534229749487,25
