name,longitude,latitude,label,source
St Moritz (Switzerland),9.83333,46.5,10,http://data.nytimes.com/
St. Moritz,9.83333,46.5,10,http://dbpedia.org/
st moritz,9.833333,46.5,10,http://rdf.freebase.com/
Dharamsala (India),76.3167,32.2167,11,http://data.nytimes.com/
Dharamsala,76.3172,32.0728,11,http://dbpedia.org/
Dharamsala,76.3167,32.2167,11,http://sws.geonames.org/
dharamsala,76.3167,32.2167,11,http://rdf.freebase.com/
Wengen,7.91667,46.6,12,http://sws.geonames.org/
wengen,7.9167,46.6,12,http://rdf.freebase.com/
Wengen (Switzerland),7.91667,46.6,12,http://data.nytimes.com/
Wengen,7.91667,46.6,12,http://dbpedia.org/
"Savannah, Georgia",,,13,http://dbpedia.org/
Savannah,-81.0998,32.0835,13,http://sws.geonames.org/
savannah,-81.1038,32.0507,13,http://rdf.freebase.com/
Savannah (Ga),-81.0998,32.0835,13,http://data.nytimes.com/
"Norwalk, Connecticut",,,14,http://dbpedia.org/
norwalk,-73.4083,41.1175,14,http://rdf.freebase.com/
Norwalk,-73.4079,41.1176,14,http://sws.geonames.org/
Norwalk (Conn),-73.4079,41.1176,14,http://data.nytimes.com/
dublin,-6.2661,53.3428,15,http://rdf.freebase.com/
Dublin,-6.26719,53.344,15,http://sws.geonames.org/
Dublin (Ireland),-6.24889,53.3331,15,http://data.nytimes.com/
Dublin,-6.25972,53.3478,15,http://dbpedia.org/
Hollywood,-118.327,34.0983,16,http://sws.geonames.org/
Hollywood (Calif),-118.327,34.0983,16,http://data.nytimes.com/
hollywood,-118.333,34.1,16,http://rdf.freebase.com/
"Hollywood, Los Angeles, California",,,16,http://dbpedia.org/
Guilin,110.286,25.2819,17,http://sws.geonames.org/
Guilin,110.283,25.2667,17,http://dbpedia.org/
Guilin (China),110.286,25.2819,17,http://data.nytimes.com/
guilin,110.292,25.2706,17,http://rdf.freebase.com/
Shimla,77.1667,31.1,18,http://sws.geonames.org/
Shimla (India),77.1667,31.1,18,http://data.nytimes.com/
Shimla,77.0,31.0,18,http://dbpedia.org/
shimla,77.1722,31.1033,18,http://rdf.freebase.com/
Killington,-72.7798,43.6776,19,http://sws.geonames.org/
killington,-72.7798,43.6776,19,http://rdf.freebase.com/
"Killington, Vermont",,,19,http://dbpedia.org/
Killington (Vt),-72.7798,43.6776,19,http://data.nytimes.com/
Zihuatanejo,-101.551,17.6367,20,http://dbpedia.org/
Zihuatanejo (Mexico),-101.55,17.6333,20,http://data.nytimes.com/
Zihuatanejo,-101.55,17.6333,20,http://sws.geonames.org/
zihuatanejo,-101.55,17.6333,20,http://rdf.freebase.com/
Ouro Preto,-43.5036,-20.3853,21,http://dbpedia.org/
Ouro Preto,-43.5052,-20.3948,21,http://sws.geonames.org/
Ouro Preto (Brazil),-43.5081,-20.2875,21,http://data.nytimes.com/
ouro preto,-43.51,-20.3708,21,http://rdf.freebase.com/
hiroshima,132.476,34.3987,22,http://rdf.freebase.com/
Hiroshima,132.45,34.4,22,http://sws.geonames.org/
Hiroshima,132.476,34.3981,22,http://dbpedia.org/
Hiroshima (Japan),132.45,34.4,22,http://data.nytimes.com/
patzcuaro,-101.609,19.5158,23,http://rdf.freebase.com/
Pátzcuaro,-101.6,19.5167,23,http://sws.geonames.org/
Patzcuaro (Mexico),-101.6,19.5167,23,http://data.nytimes.com/
Patzcuaro,,,23,http://dbpedia.org/
Mombasa (Kenya),39.6667,-4.05,24,http://data.nytimes.com/
mombasa,39.6667,-4.05,24,http://rdf.freebase.com/
Mombasa,39.6667,-4.05,24,http://dbpedia.org/
Mombasa,39.6667,-4.05,24,http://sws.geonames.org/
Kathmandu,85.3206,27.7017,25,http://sws.geonames.org/
kathmandu,85.3667,27.7167,25,http://rdf.freebase.com/
Katmandu (Nepal),85.3167,27.7167,25,http://data.nytimes.com/
Kathmandu,85.3333,27.7,25,http://dbpedia.org/
Vienna,16.3721,48.2085,26,http://sws.geonames.org/
Vienna (Austria),16.3721,48.2085,26,http://data.nytimes.com/
vienna,16.3726,48.2088,26,http://rdf.freebase.com/
Vienna,16.3731,48.2089,26,http://dbpedia.org/
Lake Louise (Canada),-116.235,51.4167,27,http://data.nytimes.com/
lake louise alberta,-116.184,51.4311,27,http://rdf.freebase.com/
"Lake Louise, Alberta",,,27,http://dbpedia.org/
Pawleys Island (SC),-79.1217,33.4296,28,http://data.nytimes.com/
"Pawleys Island, South Carolina",,,28,http://dbpedia.org/
pawleys island,-79.125,33.4292,28,http://rdf.freebase.com/
Ayodhya,82.2,26.8,29,http://sws.geonames.org/
Ayodhya,82.2,26.8,29,http://dbpedia.org/
Ayodhya (India),82.2,26.8,29,http://data.nytimes.com/
ayodhya,82.2,26.8,29,http://rdf.freebase.com/
Damascus,36.2913,33.5102,30,http://sws.geonames.org/
Damascus (Syria),36.3,33.5,30,http://data.nytimes.com/
Damascus,36.292,33.513,30,http://dbpedia.org/
damascus,36.3,33.5,30,http://rdf.freebase.com/
Zanzibar (Tanzania),39.1979,-6.16394,31,http://data.nytimes.com/
zanzibar,39.3167,-6.1333,31,http://rdf.freebase.com/
Zanzibar,39.3167,-6.13333,31,http://dbpedia.org/
Zanzibar,39.1979,-6.16394,31,http://sws.geonames.org/
Espanola (NM),-106.081,35.9911,32,http://data.nytimes.com/
"Espanola, New Mexico",,,32,http://dbpedia.org/
Espanola,-106.081,35.9911,32,http://sws.geonames.org/
espanola,-106.08,35.9911,32,http://rdf.freebase.com/
Palenque/Temp,-91.9667,17.5167,33,http://sws.geonames.org/
Palenque,-92.0463,17.484,33,http://dbpedia.org/
Palenque (Mexico),-91.9667,17.5167,33,http://data.nytimes.com/
Punta Gorda (Belize),-88.8,16.1,34,http://data.nytimes.com/
punta gorda belize,-88.8,16.1,34,http://rdf.freebase.com/
"Punta Gorda, Belize",,,34,http://dbpedia.org/
Punta Gorda,-88.8,16.1,34,http://sws.geonames.org/
Chachapoyas,-77.869,-6.23169,35,http://sws.geonames.org/
chachapoyas,-77.85,-6.2167,35,http://rdf.freebase.com/
"Chachapoyas, Peru",,,35,http://dbpedia.org/
Chachapoyas (Peru),-77.869,-6.23169,35,http://data.nytimes.com/
Wellington,174.776,-41.2866,36,http://sws.geonames.org/
Wellington (New Zealand),174.777,-41.2785,36,http://data.nytimes.com/
Wellington,174.777,-41.2889,36,http://dbpedia.org/
wellington,174.777,-41.2889,36,http://rdf.freebase.com/
Lafayette,-92.0198,30.2241,37,http://sws.geonames.org/
Lafayette (La),-92.0198,30.2241,37,http://data.nytimes.com/
lafayette louisiana,-92.0294,30.2139,37,http://rdf.freebase.com/
"Lafayette, Louisiana",,,37,http://dbpedia.org/
Ghent,3.73333,51.05,38,http://dbpedia.org/
Ghent (Belgium),3.71667,51.05,38,http://data.nytimes.com/
ghent,3.71667,51.05,38,http://rdf.freebase.com/
Ghent,3.71667,51.05,38,http://sws.geonames.org/
puerto vallarta,-105.234,20.6031,39,http://rdf.freebase.com/
Puerto Vallarta (Mexico),-105.231,20.6204,39,http://data.nytimes.com/
Puerto Vallarta,-105.267,20.6667,39,http://dbpedia.org/
Puerto Vallarta,-105.231,20.6204,39,http://sws.geonames.org/
Nairobi,36.8167,-1.28333,40,http://dbpedia.org/
Nairobi (Kenya),36.8167,-1.28333,40,http://data.nytimes.com/
Nairobi,36.8167,-1.28333,40,http://sws.geonames.org/
nairobi,36.8167,-1.28333,40,http://rdf.freebase.com/
palmetto georgia,-84.6678,33.5211,41,http://rdf.freebase.com/
Palmetto,-84.6697,33.5179,41,http://sws.geonames.org/
Palmetto (Ga),-84.6697,33.5179,41,http://data.nytimes.com/
"Palmetto, Georgia",,,41,http://dbpedia.org/
Sihanoukville,103.53,10.6093,42,http://sws.geonames.org/
sihanoukville,103.5,10.6333,42,http://rdf.freebase.com/
Sihanoukville (Cambodia),103.5,10.6333,42,http://data.nytimes.com/
Sihanoukville,103.5,10.6333,42,http://dbpedia.org/
ocean city new jersey,-74.575,39.2775,43,http://rdf.freebase.com/
Ocean City (NJ),-74.5746,39.2776,43,http://data.nytimes.com/
Ocean City,-74.5746,39.2776,43,http://sws.geonames.org/
"Ocean City, New Jersey",,,43,http://dbpedia.org/
Vézelay,3.73333,47.4667,44,http://sws.geonames.org/
Vezelay (France),3.73333,47.4667,44,http://data.nytimes.com/
vezelay,3.74667,47.4667,44,http://rdf.freebase.com/
Vezelay,,,44,http://dbpedia.org/
"North Adams, Massachusetts",,,45,http://dbpedia.org/
north adams,-73.1092,42.7008,45,http://rdf.freebase.com/
North Adams (Mass),-73.1087,42.7009,45,http://data.nytimes.com/
North Adams,-73.1087,42.7009,45,http://sws.geonames.org/
Mott Haven (NYC),-73.9229,40.809,46,http://data.nytimes.com/
"Mott Haven, Bronx",,,46,http://dbpedia.org/
Mott Haven,-73.9229,40.809,46,http://sws.geonames.org/
mott haven bronx,-73.9229,40.809,46,http://rdf.freebase.com/
Saint Mawes,-5.01222,50.1594,47,http://sws.geonames.org/
St Mawes (England),-5.01222,50.1594,47,http://data.nytimes.com/
St Mawes (UK Parliament constituency),,,47,http://dbpedia.org/
Toledo (Spain),-4.02263,39.8581,48,http://data.nytimes.com/
Toledo,-4.02263,39.8581,48,http://sws.geonames.org/
"Toledo, Spain",,,48,http://dbpedia.org/
toledo spain,-4.03333,39.8667,48,http://rdf.freebase.com/
"Guadalupe, Baja California",,,49,http://dbpedia.org/
guadalupe mexico,-116.583,32.0667,49,http://rdf.freebase.com/
Valparaiso,,,50,http://dbpedia.org/
Valparaiso (Chile),-71.6273,-33.0393,50,http://data.nytimes.com/
Valparaíso,-71.6273,-33.0393,50,http://sws.geonames.org/
valparaiso,-71.6011,-33.0478,50,http://rdf.freebase.com/
armacao dos buzios,-41.8819,-22.7469,51,http://rdf.freebase.com/
Armacao dos Buzios,,,51,http://dbpedia.org/
Buzios (Brazil),-41.8817,-22.7469,51,http://data.nytimes.com/
Armação de Búzios,-41.8817,-22.7469,51,http://sws.geonames.org/
new brunswick new jersey,-74.4522,40.4861,52,http://rdf.freebase.com/
New Brunswick,-74.4518,40.4862,52,http://sws.geonames.org/
New Brunswick (NJ),-74.4518,40.4862,52,http://data.nytimes.com/
"New Brunswick, New Jersey",,,52,http://dbpedia.org/
Geneva (Switzerland),6.14569,46.2022,54,http://data.nytimes.com/
geneva,6.15,46.2,54,http://rdf.freebase.com/
Geneva,6.14569,46.2022,54,http://sws.geonames.org/
Geneva,6.15,46.2,54,http://dbpedia.org/
Chamonix,6.86972,45.9231,55,http://dbpedia.org/
Chamonix (France),6.86667,45.9167,55,http://data.nytimes.com/
chamonix,6.8653,45.9189,55,http://rdf.freebase.com/
Chamonix,6.86667,45.9167,55,http://sws.geonames.org/
Sadr City,44.4583,33.3889,56,http://dbpedia.org/
sadr city,44.4583,33.3889,56,http://rdf.freebase.com/
Arosa (Switzerland),9.66667,46.7833,57,http://data.nytimes.com/
Arosa,9.68333,46.7833,57,http://dbpedia.org/
arosa,9.683333,46.783333,57,http://rdf.freebase.com/
Arosa,9.66667,46.7833,57,http://sws.geonames.org/
Brussels (Belgium),4.35277,50.8466,58,http://data.nytimes.com/
brussels,4.35642,50.8411,58,http://rdf.freebase.com/
Brussels,4.35277,50.8466,58,http://sws.geonames.org/
Brussels,4.35,50.85,58,http://dbpedia.org/
Oporto (Portugal),-8.61667,41.15,59,http://data.nytimes.com/
Porto,-8.61667,41.15,59,http://sws.geonames.org/
Porto,-8.61,41.1497,59,http://dbpedia.org/
porto,-8.58333,41.1667,59,http://rdf.freebase.com/
Seville,-5.98694,37.3772,60,http://sws.geonames.org/
Seville (Spain),-5.98694,37.3772,60,http://data.nytimes.com/
seville,-5.98333,37.3833,60,http://rdf.freebase.com/
Seville,-5.98694,37.3772,60,http://dbpedia.org/
New Orleans,-90.0706,29.9647,61,http://dbpedia.org/
New Orleans (La),-90.0751,29.9546,61,http://data.nytimes.com/
New Orleans,-90.0751,29.9546,61,http://sws.geonames.org/
new orleans,-90.059,29.9728,61,http://rdf.freebase.com/
Shanghai,121.5,31.2,62,http://dbpedia.org/
shanghai,121.5,31.2,62,http://rdf.freebase.com/
Shanghai (China),121.458,31.2222,62,http://data.nytimes.com/
Shanghai,121.458,31.2222,62,http://sws.geonames.org/
Bogotá,-74.0818,4.60971,63,http://sws.geonames.org/
Bogota,,,63,http://dbpedia.org/
Bogota (Colombia),-74.0833,4.6,63,http://data.nytimes.com/
bogota,-74.0758,4.59806,63,http://rdf.freebase.com/
scituate,-70.7264,42.1958,64,http://rdf.freebase.com/
Scituate (Mass),-70.7259,42.1959,64,http://data.nytimes.com/
Scituate,-70.7259,42.1959,64,http://sws.geonames.org/
"Scituate, Massachusetts",,,64,http://dbpedia.org/
Lisbon,-9.13939,38.7138,65,http://dbpedia.org/
Lisbon (Portugal),-9.13333,38.7167,65,http://data.nytimes.com/
lisbon,-9.1833,38.7,65,http://rdf.freebase.com/
Lisbon,-9.13333,38.7167,65,http://sws.geonames.org/
patchogue,-73.0156,40.7656,66,http://rdf.freebase.com/
Patchogue,-73.0151,40.7657,66,http://sws.geonames.org/
"Patchogue, New York",,,66,http://dbpedia.org/
Patchogue (NY),-73.0151,40.7657,66,http://data.nytimes.com/
Bergama,27.1833,39.1167,67,http://dbpedia.org/
bergama,27.1757,39.1234,67,http://rdf.freebase.com/
Bergama (Turkey),27.1805,39.1207,67,http://data.nytimes.com/
Bergama,27.1805,39.1207,67,http://sws.geonames.org/
Canaima,-63.1917,10.6311,68,http://sws.geonames.org/
Canaima (Venezuela),-63.1917,10.6311,68,http://data.nytimes.com/
Punta Cana (Dominican Republic),-68.4043,18.5818,69,http://data.nytimes.com/
Punta Cana,-68.4043,18.5818,69,http://sws.geonames.org/
Punta Cana,-68.3667,18.5333,69,http://dbpedia.org/
punta cana,-68.3667,18.5333,69,http://rdf.freebase.com/
Arezzo,11.87,43.4733,70,http://dbpedia.org/
arezzo,11.8833,43.4667,70,http://rdf.freebase.com/
pucon,-71.9667,-39.2667,71,http://rdf.freebase.com/
Pucon,,,71,http://dbpedia.org/
Pucon (Chile),-71.9543,-39.2822,71,http://data.nytimes.com/
Pucón,-71.9543,-39.2822,71,http://sws.geonames.org/
"Metuchen, New Jersey",,,72,http://dbpedia.org/
Metuchen (NJ),-74.3632,40.5432,72,http://data.nytimes.com/
Metuchen,-74.3632,40.5432,72,http://sws.geonames.org/
metuchen,-74.3636,40.5431,72,http://rdf.freebase.com/
Ras al-Khaimah,55.95,25.7833,73,http://dbpedia.org/
ras al-khaimah,55.95,25.783333,73,http://rdf.freebase.com/
Ras al-Khaimah (United Arab Emirates),55.9428,25.7911,73,http://data.nytimes.com/
Ra's al Khaymah,55.9428,25.7911,73,http://sws.geonames.org/
Monopoli,17.2896,40.9559,74,http://sws.geonames.org/
monopoli,17.3,40.95,74,http://rdf.freebase.com/
Monopoli,17.3,40.95,74,http://dbpedia.org/
Monopoli (Italy),17.2896,40.9559,74,http://data.nytimes.com/
Acapulco,-99.8901,16.8634,75,http://sws.geonames.org/
Acapulco (Mexico),-99.8901,16.8634,75,http://data.nytimes.com/
Acapulco,-99.8825,16.8636,75,http://dbpedia.org/
acapulco,-99.9097,16.8517,75,http://rdf.freebase.com/
Berchtesgaden (Germany),13.0,47.6333,76,http://data.nytimes.com/
Berchtesgaden,13.0042,47.6314,76,http://dbpedia.org/
Berchtesgaden,13.0,47.6333,76,http://sws.geonames.org/
berchtesgaden,13.0023,47.6312,76,http://rdf.freebase.com/
Lagos,3.39583,6.45306,78,http://sws.geonames.org/
Lagos (Nigeria),3.39583,6.45306,78,http://data.nytimes.com/
lagos,3.38333,6.45,78,http://rdf.freebase.com/
Lagos,3.39583,6.45306,78,http://dbpedia.org/
alice springs,133.87,-23.7,79,http://rdf.freebase.com/
Alice Springs (Australia),133.883,-23.7,79,http://data.nytimes.com/
Alice Springs,133.883,-23.7,79,http://sws.geonames.org/
"Alice Springs, Northern Territory",,,79,http://dbpedia.org/
san juan puerto rico,-66.0689,18.4517,80,http://rdf.freebase.com/
"San Juan, Puerto Rico",,,80,http://dbpedia.org/
San Juan,-66.1057,18.4663,80,http://sws.geonames.org/
San Juan (Puerto Rico),-66.1057,18.4663,80,http://data.nytimes.com/
San Pedro de Atacama,-68.2,-22.9167,81,http://dbpedia.org/
San Pedro de Atacama,-68.2167,-22.9167,81,http://sws.geonames.org/
san pedro de atacama,-68.1942,-22.9147,81,http://rdf.freebase.com/
San Pedro de Atacama (Chile),-68.2167,-22.9167,81,http://data.nytimes.com/
Kips Bay (NYC),-73.9771,40.7395,82,http://data.nytimes.com/
Kips Bay,-73.9771,40.7395,82,http://sws.geonames.org/
kips bay,-73.9783,40.7414,82,http://rdf.freebase.com/
Kips Bay,-73.9783,40.7414,82,http://dbpedia.org/
Lhasa,91.1,29.65,83,http://sws.geonames.org/
Lhasa,91.1,29.65,83,http://dbpedia.org/
Lhasa (Tibet),91.1,29.65,83,http://data.nytimes.com/
lhasa,91.1,29.65,83,http://rdf.freebase.com/
Ushuaia (Argentina),-68.3,-54.8,84,http://data.nytimes.com/
Ushuaia,-68.3,-54.8,84,http://sws.geonames.org/
Ushuaia,-68.3,-54.8,84,http://dbpedia.org/
ushuaia,-68.3,-54.8,84,http://rdf.freebase.com/
punta del este,-54.95,-34.9667,86,http://rdf.freebase.com/
Punta del Este,-54.95,-34.9667,86,http://dbpedia.org/
Philadelphia,-75.1638,39.9523,87,http://sws.geonames.org/
Philadelphia (Pa),-75.1638,39.9523,87,http://data.nytimes.com/
Philadelphia,-75.17,39.95,87,http://dbpedia.org/
philadelphia,-75.1642,39.9522,87,http://rdf.freebase.com/
seattle,-122.333,47.6097,88,http://rdf.freebase.com/
Seattle (Wash),-122.332,47.6062,88,http://data.nytimes.com/
Seattle,-122.332,47.6062,88,http://sws.geonames.org/
Seattle,-122.333,47.6097,88,http://dbpedia.org/
Southampton (England),-1.4,50.9,89,http://data.nytimes.com/
Southampton,-1.4,50.9,89,http://sws.geonames.org/
Southampton,-1.40416,50.897,89,http://dbpedia.org/
southampton,-1.39609,50.9339,89,http://rdf.freebase.com/
chengdu,104.067,30.6636,90,http://rdf.freebase.com/
Chengdu,104.067,30.6667,90,http://sws.geonames.org/
Chengdu (China),104.067,30.6667,90,http://data.nytimes.com/
Chengdu,104.067,30.6636,90,http://dbpedia.org/
gori region georgia,44.1,41.966667,91,http://rdf.freebase.com/
Gori,44.1111,41.9736,91,http://sws.geonames.org/
Gori (Georgian Republic),44.1111,41.9736,91,http://data.nytimes.com/
Saint-Tropez,6.63333,43.2667,92,http://sws.geonames.org/
St-Tropez (France),6.63333,43.2667,92,http://data.nytimes.com/
Saint-Tropez,6.63962,43.2733,92,http://dbpedia.org/
saint-tropez,6.6394,43.2706,92,http://rdf.freebase.com/
"Maplewood, New Jersey",,,93,http://dbpedia.org/
Maplewood,-74.2735,40.7312,93,http://sws.geonames.org/
Maplewood (NJ),-74.2735,40.7312,93,http://data.nytimes.com/
maplewood,-74.2739,40.7311,93,http://rdf.freebase.com/
leavenworth washington,-120.66,47.5964,94,http://rdf.freebase.com/
Leavenworth,-120.661,47.5962,94,http://sws.geonames.org/
Leavenworth (Wash),-120.661,47.5962,94,http://data.nytimes.com/
"Leavenworth, Washington",,,94,http://dbpedia.org/
"Amenia (town), New York",,,95,http://dbpedia.org/
Amenia,-73.5568,41.8493,95,http://sws.geonames.org/
Amenia (NY),-73.5568,41.8493,95,http://data.nytimes.com/
amenia,-73.5566,41.8494,95,http://rdf.freebase.com/
Belfast (Northern Ireland),-5.93333,54.6,96,http://data.nytimes.com/
Belfast,-5.93,54.597,96,http://dbpedia.org/
belfast,-5.91667,54.6,96,http://rdf.freebase.com/
Belfast County Borough,-5.93333,54.6,96,http://sws.geonames.org/
El Chaltén,-72.93,-49.3286,97,http://sws.geonames.org/
El Chalten (Patagonia),-72.93,-49.3286,97,http://data.nytimes.com/
el chalten,-72.93,-49.3289,97,http://rdf.freebase.com/
El Chalten,,,97,http://dbpedia.org/
Hyderabad,78.4744,17.3753,98,http://sws.geonames.org/
hyderabad,78.4667,17.3667,98,http://rdf.freebase.com/
Hyderabad (India),78.4744,17.3753,98,http://data.nytimes.com/
"Hyderabad, India",,,98,http://dbpedia.org/
Salida (Colo),-105.999,38.5347,99,http://data.nytimes.com/
"Salida, Colorado",,,99,http://dbpedia.org/
salida,-105.998,38.5347,99,http://rdf.freebase.com/
Salida,-105.999,38.5347,99,http://sws.geonames.org/
"Rossville, Staten Island",,,100,http://dbpedia.org/
rossville staten island,-74.21,40.5466,100,http://rdf.freebase.com/
Rossville (NYC),-74.2135,40.5557,100,http://data.nytimes.com/
Rossville,-74.2135,40.5557,100,http://sws.geonames.org/
Huntington Station (NY),-73.4115,40.8534,101,http://data.nytimes.com/
huntington station,-73.4119,40.8533,101,http://rdf.freebase.com/
"Huntington Station, New York",,,101,http://dbpedia.org/
Huntington Station,-73.4115,40.8534,101,http://sws.geonames.org/
Plainsboro,-74.6004,40.3334,102,http://sws.geonames.org/
"Plainsboro Township, New Jersey",,,102,http://dbpedia.org/
plainsboro,-74.6008,40.3333,102,http://rdf.freebase.com/
Plainsboro (NJ),-74.6004,40.3334,102,http://data.nytimes.com/
Fallujah,43.3125,33.4197,103,http://dbpedia.org/
fallujah,43.7869,33.3525,103,http://rdf.freebase.com/
Fallujah,43.7828,33.3561,103,http://sws.geonames.org/
Falluja (Iraq),43.7828,33.3561,103,http://data.nytimes.com/
paterson,-74.1722,40.9167,104,http://rdf.freebase.com/
"Paterson, New Jersey",,,104,http://dbpedia.org/
Paterson (NJ),-74.1718,40.9168,104,http://data.nytimes.com/
Paterson,-74.1718,40.9168,104,http://sws.geonames.org/
Al Maḩmūdīyah,44.364,33.0687,105,http://sws.geonames.org/
Mahmudiya (Iraq),44.3675,33.0696,105,http://data.nytimes.com/
Mahmudiya (district),,,105,http://dbpedia.org/
mahmudiya,44.366667,33.066667,105,http://rdf.freebase.com/
Akaroa (New Zealand),172.97,-43.7983,106,http://data.nytimes.com/
Akaroa,172.97,-43.7983,106,http://sws.geonames.org/
Munich,11.5667,48.1333,107,http://dbpedia.org/
Munich (Germany),11.5755,48.1374,107,http://data.nytimes.com/
Munich,11.5755,48.1374,107,http://sws.geonames.org/
munich,11.5667,48.1333,107,http://rdf.freebase.com/
Rotorua,176.251,-38.1378,108,http://dbpedia.org/
rotorua,176.317,-38.1167,108,http://rdf.freebase.com/
Orleans,,,110,http://dbpedia.org/
Orleans (France),1.9,47.9167,110,http://data.nytimes.com/
Orléans,1.9,47.9167,110,http://sws.geonames.org/
orleans,1.905,47.9031,110,http://rdf.freebase.com/
copenhagen,12.5687,55.675,111,http://rdf.freebase.com/
Copenhagen,12.5683,55.6761,111,http://dbpedia.org/
Copenhagen (Denmark),12.5709,55.6777,111,http://data.nytimes.com/
Copenhagen,12.5655,55.6759,111,http://sws.geonames.org/
El Calafate,-72.25,-50.3333,112,http://dbpedia.org/
El Calafate (Argentina),-72.2768,-50.3407,112,http://data.nytimes.com/
el calafate,-72.2663,-50.3402,112,http://rdf.freebase.com/
El Calafate,-72.2768,-50.3407,112,http://sws.geonames.org/
long beach,-118.188,33.7669,113,http://rdf.freebase.com/
Long Beach (Calif),-118.189,33.767,113,http://data.nytimes.com/
"Long Beach, California",,,113,http://dbpedia.org/
Long Beach,-118.189,33.767,113,http://sws.geonames.org/
Cascais,,,114,http://dbpedia.org/
Cascais (Portugal),-9.42146,38.6979,114,http://data.nytimes.com/
cascais,-9.420556,38.696944,114,http://rdf.freebase.com/
Cascais,-9.42146,38.6979,114,http://sws.geonames.org/
Verdun (France),5.38333,49.1667,115,http://data.nytimes.com/
verdun,5.38833,49.1594,115,http://rdf.freebase.com/
Verdun,5.38333,49.1667,115,http://sws.geonames.org/
Verdun,5.38759,49.162,115,http://dbpedia.org/
Hunts Point (NYC),-73.884,40.8126,116,http://data.nytimes.com/
hunts point bronx,-73.884025,40.812601,116,http://rdf.freebase.com/
Hunts Point,-73.884,40.8126,116,http://sws.geonames.org/
"Hunts Point, Bronx",,,116,http://dbpedia.org/
Dominical (Costa Rica),-83.8667,9.25,117,http://data.nytimes.com/
Dominical,-83.8667,9.25,117,http://dbpedia.org/
dominical,-83.8667,9.25,117,http://rdf.freebase.com/
Dominical,-83.8667,9.25,117,http://sws.geonames.org/
"Sago, West Virginia",,,118,http://dbpedia.org/
Sago,-80.2301,38.9143,118,http://sws.geonames.org/
sago west virginia,-80.2301,38.9143,118,http://rdf.freebase.com/
Sago (West Va),-80.2301,38.9143,118,http://data.nytimes.com/
Falls Village (Conn),-73.3632,41.9559,119,http://data.nytimes.com/
Falls Village,-73.3632,41.9559,119,http://sws.geonames.org/
"Falls Village, Connecticut",,,119,http://dbpedia.org/
falls village connecticut,-73.3636,41.9564,119,http://rdf.freebase.com/
Dragør,12.6667,55.5833,120,http://dbpedia.org/
dragor,12.6833,55.6,120,http://rdf.freebase.com/
Dragor (Denmark),12.6664,55.5945,120,http://data.nytimes.com/
Dragør,12.6664,55.5945,120,http://sws.geonames.org/
SoHo,-73.9996,40.7224,121,http://sws.geonames.org/
SoHo (NYC),-73.9996,40.7224,121,http://data.nytimes.com/
Bristol,-2.58333,51.45,122,http://sws.geonames.org/
Bristol,-2.592,51.4587,122,http://dbpedia.org/
bristol,-2.6,51.46,122,http://rdf.freebase.com/
Bristol (England),-2.58333,51.45,122,http://data.nytimes.com/
