3#__tn,3$__tt,5$__idx,1$__cid
idx__22,tt__2011,1,1.0
tt__2011,cid__year,1.0,1
idx__22,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__23,tt__Gimme Dat (remix) (RYEot powRR),1,1.0
tt__Gimme Dat (remix) (RYEot powRR),cid__title,1.0,1
idx__23,tt__04:23,1,1.0
tt__04:23,cid__length,1.0,1
idx__23,tt__Rye Rye,1,1.0
tt__Rye Rye,cid__artist,1.0,1
idx__23,tt__RYEot powRR,1,1.0
tt__RYEot powRR,cid__album,1.0,1
idx__23,tt__2011,1,1.0
tt__2011,cid__year,1.0,1
idx__24,tt__AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),1,1.0
tt__AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),cid__title,1.0,1
idx__24,tt__03:39,1,1.0
tt__03:39,cid__length,1.0,1
idx__24,tt__Gerard Alessandrini,1,1.0
tt__Gerard Alessandrini,cid__artist,1.0,1
idx__24,tt__Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),1,1.0
tt__Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),cid__album,1.0,1
idx__24,tt__2901,1,1.0
tt__2901,cid__year,1.0,1
idx__25,tt__Gerard Alessandrini - Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,1,1.0
tt__Gerard Alessandrini - Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,cid__title,1.0,1
idx__25,tt__219,1,1.0
tt__219,cid__length,1.0,1
idx__25,tt__Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),1,1.0
tt__Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),cid__album,1.0,1
idx__25,tt__1,1,1.0
tt__1,cid__year,1.0,1
idx__25,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__26,tt__021-Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,1,1.0
tt__021-Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,cid__title,1.0,1
idx__26,tt__3m 39sec,1,1.0
tt__3m 39sec,cid__length,1.0,1
idx__26,tt__Gerard Alessandrini,1,1.0
tt__Gerard Alessandrini,cid__artist,1.0,1
idx__26,tt__Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),1,1.0
tt__Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),cid__album,1.0,1
idx__26,tt__2001,1,1.0
tt__2001,cid__year,1.0,1
idx__26,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__27,tt__Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life - Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),1,1.0
tt__Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life - Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),cid__title,1.0,1
idx__27,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__27,tt__Gerard Alessandrini,1,1.0
tt__Gerard Alessandrini,cid__artist,1.0,1
idx__27,tt__unknown,1,1.0
tt__unknown,cid__album,1.0,1
idx__27,tt__'01,1,1.0
tt__'01,cid__year,1.0,1
idx__27,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__28,tt__10cm,1,1.0
tt__10cm,cid__title,1.0,1
idx__28,tt__03:45,1,1.0
tt__03:45,cid__length,1.0,1
idx__28,tt__Anemone,1,1.0
tt__Anemone,cid__artist,1.0,1
idx__28,tt__10cm,1,1.0
tt__10cm,cid__album,1.0,1
idx__28,tt__2013,1,1.0
tt__2013,cid__year,1.0,1
idx__29,tt__Anemone - 10cm,1,1.0
tt__Anemone - 10cm,cid__title,1.0,1
idx__29,tt__225,1,1.0
tt__225,cid__length,1.0,1
idx__29,tt__10cm,1,1.0
tt__10cm,cid__album,1.0,1
idx__29,tt__13,1,1.0
tt__13,cid__year,1.0,1
idx__30,tt__10cm,1,1.0
tt__10cm,cid__title,1.0,1
idx__30,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__30,tt__Anemone,1,1.0
tt__Anemone,cid__artist,1.0,1
idx__30,tt__10cm,1,1.0
tt__10cm,cid__album,1.0,1
idx__30,tt__'13,1,1.0
tt__'13,cid__year,1.0,1
idx__31,tt__Clouseau - Anne,1,1.0
tt__Clouseau - Anne,cid__title,1.0,1
idx__31,tt__162,1,1.0
tt__162,cid__length,1.0,1
idx__31,tt__De Pre Historie 1989  Volume 3,1,1.0
tt__De Pre Historie 1989  Volume 3,cid__album,1.0,1
idx__31,tt__0,1,1.0
tt__0,cid__year,1.0,1
idx__31,tt__[Multiple languages],1,1.0
tt__[Multiple languages],cid__language,1.0,1
idx__32,tt__Placebo Persuasion (More Specific  Less Pacific),1,1.0
tt__Placebo Persuasion (More Specific  Less Pacific),cid__title,1.0,1
idx__32,tt__02:36,1,1.0
tt__02:36,cid__length,1.0,1
idx__32,tt__Caesura,1,1.0
tt__Caesura,cid__artist,1.0,1
idx__32,tt__More Specific  Less Pacific,1,1.0
tt__More Specific  Less Pacific,cid__album,1.0,1
idx__32,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__33,tt__Tabu Recz - Du Ikk' Sej  Din Pik Er Ikk' Lang  Vi Skyder Dig,1,1.0
tt__Tabu Recz - Du Ikk' Sej  Din Pik Er Ikk' Lang  Vi Skyder Dig,cid__title,1.0,1
idx__33,tt__240,1,1.0
tt__240,cid__length,1.0,1
idx__33,tt__Tabu Recz,1,1.0
tt__Tabu Recz,cid__album,1.0,1
idx__34,tt__Du Ikk' Sej  Din Pik Er Ikk' Lang  Vi Skyder Dig - Tabu RecCz,1,1.0
tt__Du Ikk' Sej  Din Pik Er Ikk' Lang  Vi Skyder Dig - Tabu RecCz,cid__title,1.0,1
idx__34,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__34,tt__Tabu Recz,1,1.0
tt__Tabu Recz,cid__artist,1.0,1
idx__35,tt__Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),1,1.0
tt__Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),cid__title,1.0,1
idx__35,tt__02:21,1,1.0
tt__02:21,cid__length,1.0,1
idx__35,tt__Peggy Brown,1,1.0
tt__Peggy Brown,cid__artist,1.0,1
idx__35,tt__Denn Sie Fahren Hinaus Auf Das Meer,1,1.0
tt__Denn Sie Fahren Hinaus Auf Das Meer,cid__album,1.0,1
idx__36,tt__Wayanay - Andes Cosmos,1,1.0
tt__Wayanay - Andes Cosmos,cid__title,1.0,1
idx__36,tt__249,1,1.0
tt__249,cid__length,1.0,1
idx__36,tt__Treasures Of The Incas (Andes Cosmos),1,1.0
tt__Treasures Of The Incas (Andes Cosmos),cid__album,1.0,1
idx__37,tt__Special Feature Including A Hybrid Documentary,1,1.0
tt__Special Feature Including A Hybrid Documentary,cid__title,1.0,1
idx__37,tt__Hybrid,1,1.0
tt__Hybrid,cid__artist,1.0,1
idx__37,tt__Morning,1,1.0
tt__Morning,cid__album,1.0,1
idx__37,tt__Sci-Fi,1,1.0
tt__Sci-Fi,cid__album,1.0,1
idx__37,tt__3,1,1.0
tt__3,cid__year,1.0,1
idx__37,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__38,tt__I could easily fall in love with you (Cuore matto),1,1.0
tt__I could easily fall in love with you (Cuore matto),cid__title,1.0,1
idx__38,tt__00:00,1,1.0
tt__00:00,cid__length,1.0,1
idx__38,tt__LittleTony,1,1.0
tt__LittleTony,cid__artist,1.0,1
idx__38,tt__Cuore mattoo,1,1.0
tt__Cuore mattoo,cid__album,1.0,1
idx__38,tt__1997,1,1.0
tt__1997,cid__year,1.0,1
idx__39,tt__Still in love with you (With This Ring… Forever I Do),1,1.0
tt__Still in love with you (With This Ring… Forever I Do),cid__title,1.0,1
idx__39,tt__04:36,1,1.0
tt__04:36,cid__length,1.0,1
idx__39,tt__Chris Willis,1,1.0
tt__Chris Willis,cid__artist,1.0,1
idx__39,tt__With This Ring… Forever I Do,1,1.0
tt__With This Ring… Forever I Do,cid__album,1.0,1
idx__39,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__40,tt__007-A Tout A L'Heure,1,1.0
tt__007-A Tout A L'Heure,cid__title,1.0,1
idx__40,tt__4m 0sec,1,1.0
tt__4m 0sec,cid__length,1.0,1
idx__40,tt__Bibio,1,1.0
tt__Bibio,cid__artist,1.0,1
idx__40,tt__Ministry of Sound: Chillout Sessions XVI (2013),1,1.0
tt__Ministry of Sound: Chillout Sessions XVI (2013),cid__album,1.0,1
idx__40,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__41,tt__À Tout À L'Heure,1,1.0
tt__À Tout À L'Heure,cid__title,1.0,1
idx__41,tt__240000,1,1.0
tt__240000,cid__length,1.0,1
idx__41,tt__Bibio,1,1.0
tt__Bibio,cid__artist,1.0,1
idx__41,tt__Ministry of Sound: Chillout Sessions XVI,1,1.0
tt__Ministry of Sound: Chillout Sessions XVI,cid__album,1.0,1
idx__41,tt__2013,1,1.0
tt__2013,cid__year,1.0,1
idx__41,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__42,tt__Fried Bananas - Live at the Amsterdam Paradiso,1,1.0
tt__Fried Bananas - Live at the Amsterdam Paradiso,cid__title,1.0,1
idx__42,tt__12,1,1.0
tt__12,cid__length,1.0,1
idx__42,tt__Dexter Gordon,1,1.0
tt__Dexter Gordon,cid__artist,1.0,1
idx__42,tt__'94,1,1.0
tt__'94,cid__year,1.0,1
idx__42,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__43,tt__002-Fried Bananas,1,1.0
tt__002-Fried Bananas,cid__title,1.0,1
idx__43,tt__12m 18sec,1,1.0
tt__12m 18sec,cid__length,1.0,1
idx__43,tt__Dexter Gordon,1,1.0
tt__Dexter Gordon,cid__artist,1.0,1
idx__43,tt__Live at the Amsterdam Paradiso (1994),1,1.0
tt__Live at the Amsterdam Paradiso (1994),cid__album,1.0,1
idx__43,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__44,tt__Fried Bananas,1,1.0
tt__Fried Bananas,cid__title,1.0,1
idx__44,tt__738000,1,1.0
tt__738000,cid__length,1.0,1
idx__44,tt__Dexter Gordon,1,1.0
tt__Dexter Gordon,cid__artist,1.0,1
idx__44,tt__Live at the Amsterdam Paradiso,1,1.0
tt__Live at the Amsterdam Paradiso,cid__album,1.0,1
idx__44,tt__1994,1,1.0
tt__1994,cid__year,1.0,1
idx__44,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__45,tt__Amikaeyla and Trelawny Rose - Wonderful World,1,1.0
tt__Amikaeyla and Trelawny Rose - Wonderful World,cid__title,1.0,1
idx__45,tt__333,1,1.0
tt__333,cid__length,1.0,1
idx__45,tt__To Eva  With Love,1,1.0
tt__To Eva  With Love,cid__album,1.0,1
idx__45,tt__11,1,1.0
tt__11,cid__year,1.0,1
idx__45,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__46,tt__Wonderful World - To Eva  With Love,1,1.0
tt__Wonderful World - To Eva  With Love,cid__title,1.0,1
idx__46,tt__5,1,1.0
tt__5,cid__length,1.0,1
idx__46,tt__Amikaeyla and Trelawny Rose,1,1.0
tt__Amikaeyla and Trelawny Rose,cid__artist,1.0,1
idx__46,tt__'11,1,1.0
tt__'11,cid__year,1.0,1
idx__46,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__47,tt__Praia nua (Ensaio - Signo de ar),1,1.0
tt__Praia nua (Ensaio - Signo de ar),cid__title,1.0,1
idx__47,tt__04:57,1,1.0
tt__04:57,cid__length,1.0,1
idx__47,tt__Jorge Vercilo,1,1.0
tt__Jorge Vercilo,cid__artist,1.0,1
idx__47,tt__Ensaio - Signo de ar,1,1.0
tt__Ensaio - Signo de ar,cid__album,1.0,1
idx__47,tt__2005,1,1.0
tt__2005,cid__year,1.0,1
idx__48,tt__hWeels of FIRE,1,1.0
tt__hWeels of FIRE,cid__title,1.0,1
idx__48,tt__230893,1,1.0
tt__230893,cid__length,1.0,1
idx__48,tt__Saints & Sinners,1,1.0
tt__Saints & Sinners,cid__artist,1.0,1
idx__48,tt__Saints & Sinners,1,1.0
tt__Saints & Sinners,cid__album,1.0,1
idx__49,tt__Wheels of Fire (Saints & Sinners),1,1.0
tt__Wheels of Fire (Saints & Sinners),cid__title,1.0,1
idx__49,tt__03:50,1,1.0
tt__03:50,cid__length,1.0,1
idx__49,tt__Saints & Sinners,1,1.0
tt__Saints & Sinners,cid__artist,1.0,1
idx__49,tt__Saints & Sinners,1,1.0
tt__Saints & Sinners,cid__album,1.0,1
idx__50,tt__006- of Fire,1,1.0
tt__006- of Fire,cid__title,1.0,1
idx__50,tt__3m 50sec,1,1.0
tt__3m 50sec,cid__length,1.0,1
idx__50,tt__Saints & Sinners,1,1.0
tt__Saints & Sinners,cid__artist,1.0,1
idx__50,tt__Saints & Sinners (unknown),1,1.0
tt__Saints & Sinners (unknown),cid__album,1.0,1
idx__51,tt__Whe els of Fire - Saints & Sinners,1,1.0
tt__Whe els of Fire - Saints & Sinners,cid__title,1.0,1
idx__51,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__51,tt__Saints & Sinners,1,1.0
tt__Saints & Sinners,cid__artist,1.0,1
idx__52,tt__Saints & Sinners - Wheels of Fire,1,1.0
tt__Saints & Sinners - Wheels of Fire,cid__title,1.0,1
idx__52,tt__230,1,1.0
tt__230,cid__length,1.0,1
idx__52,tt__Saints & Sinners,1,1.0
tt__Saints & Sinners,cid__album,1.0,1
idx__53,tt__011-Dey Want Some,1,1.0
tt__011-Dey Want Some,cid__title,1.0,1
idx__53,tt__4m 12sec,1,1.0
tt__4m 12sec,cid__length,1.0,1
idx__53,tt__BeatKing feat. Slim Thug  Kirko Bangz & Bun B,1,1.0
tt__BeatKing feat. Slim Thug  Kirko Bangz & Bun B,cid__artist,1.0,1
idx__53,tt__Club God 2 (2012),1,1.0
tt__Club God 2 (2012),cid__album,1.0,1
idx__53,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__54,tt__Charlie Walker,1,1.0
tt__Charlie Walker,cid__title,1.0,1
idx__54,tt__157533,1,1.0
tt__157533,cid__length,1.0,1
idx__54,tt__Charlie Walker,1,1.0
tt__Charlie Walker,cid__artist,1.0,1
idx__54,tt__Pick Me Up on Your Way Down,1,1.0
tt__Pick Me Up on Your Way Down,cid__album,1.0,1
idx__55,tt__It's a Heartache,1,1.0
tt__It's a Heartache,cid__title,1.0,1
idx__55,tt__210120,1,1.0
tt__210120,cid__length,1.0,1
idx__55,tt__Bonnie Tyler,1,1.0
tt__Bonnie Tyler,cid__artist,1.0,1
idx__55,tt__Seventies Top 100  Volume 2,1,1.0
tt__Seventies Top 100  Volume 2,cid__album,1.0,1
idx__55,tt__2008,1,1.0
tt__2008,cid__year,1.0,1
idx__55,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__56,tt__Comme ça tu veux un gun ? Tu trouves ça l'fun !,1,1.0
tt__Comme ça tu veux un gun ? Tu trouves ça l'fun !,cid__title,1.0,1
idx__56,tt__201400,1,1.0
tt__201400,cid__length,1.0,1
idx__56,tt__KC L.M.N.O.P.,1,1.0
tt__KC L.M.N.O.P.,cid__artist,1.0,1
idx__56,tt__Ta yeul…,1,1.0
tt__Ta yeul…,cid__album,1.0,1
idx__56,tt__1996,1,1.0
tt__1996,cid__year,1.0,1
idx__56,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__57,tt__Sea Breeze (full mix),1,1.0
tt__Sea Breeze (full mix),cid__title,1.0,1
idx__57,tt__30000,1,1.0
tt__30000,cid__length,1.0,1
idx__57,tt__Burgo & David Haig,1,1.0
tt__Burgo & David Haig,cid__artist,1.0,1
idx__57,tt__Massive - Rock/Pop,1,1.0
tt__Massive - Rock/Pop,cid__album,1.0,1
idx__57,tt__Englih,1,1.0
tt__Englih,cid__language,1.0,1
idx__58,tt__Sea Breeze (full mix) (Massive - Rock/Pop),1,1.0
tt__Sea Breeze (full mix) (Massive - Rock/Pop),cid__title,1.0,1
idx__58,tt__00:30,1,1.0
tt__00:30,cid__length,1.0,1
idx__58,tt__Frank Burgo & David Haig,1,1.0
tt__Frank Burgo & David Haig,cid__artist,1.0,1
idx__58,tt__Massive - Rock/Pop,1,1.0
tt__Massive - Rock/Pop,cid__album,1.0,1
idx__59,tt__Introduction et Variations sur une Ronde Populaire - Encore!,1,1.0
tt__Introduction et Variations sur une Ronde Populaire - Encore!,cid__title,1.0,1
idx__59,tt__8,1,1.0
tt__8,cid__length,1.0,1
idx__59,tt__Gabriel Pierné,1,1.0
tt__Gabriel Pierné,cid__artist,1.0,1
idx__59,tt__'98,1,1.0
tt__'98,cid__year,1.0,1
idx__59,tt__Engilsh,1,1.0
tt__Engilsh,cid__language,1.0,1
idx__60,tt__007-Introduction et Variations sur une Ronde Populaire,1,1.0
tt__007-Introduction et Variations sur une Ronde Populaire,cid__title,1.0,1
idx__60,tt__8m 32sec,1,1.0
tt__8m 32sec,cid__length,1.0,1
idx__60,tt__Gabriel Pierne,1,1.0
tt__Gabriel Pierne,cid__artist,1.0,1
idx__60,tt__Encore! (1998),1,1.0
tt__Encore! (1998),cid__album,1.0,1
idx__60,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__61,tt__Introduction et Variations sur une Ronde Populaire,1,1.0
