query_table,unionable_count
PED_YT_DTL_SNF____c11_0____2.csv,432
PED_YT_DTL_SNF____c11_1____0.csv,437
PED_YT_DTL_SNF____c11_1____1.csv,437
PED_YT_DTL_SNF____c11_1____2.csv,437
PED_YT_DTL_SNF____c12_0____0.csv,474
PED_YT_DTL_SNF____c12_0____1.csv,337
PED_YT_DTL_SNF____c12_0____2.csv,474
PED_YT_DTL_SNF____c12_1____0.csv,503
PED_YT_DTL_SNF____c12_1____1.csv,503
PED_YT_DTL_SNF____c12_1____2.csv,503
PED_YT_DTL_SNF____c13_0____0.csv,463
PED_YT_DTL_SNF____c13_0____1.csv,463
PED_YT_DTL_SNF____c13_0____2.csv,463
PED_YT_DTL_SNF____c13_1____0.csv,499
PED_YT_DTL_SNF____c13_1____1.csv,499
PED_YT_DTL_SNF____c13_1____2.csv,499
PED_YT_DTL_SNF____c14_0____0.csv,495
PED_YT_DTL_SNF____c14_0____1.csv,495
PED_YT_DTL_SNF____c14_0____2.csv,495
PED_YT_DTL_SNF____c14_1____0.csv,479
PED_YT_DTL_SNF____c14_1____1.csv,479
PED_YT_DTL_SNF____c14_1____2.csv,479
PED_YT_DTL_SNF____c15_0____0.csv,479
PED_YT_DTL_SNF____c15_0____1.csv,479
PED_YT_DTL_SNF____c15_0____2.csv,479
PED_YT_DTL_SNF____c15_1____0.csv,457
PED_YT_DTL_SNF____c15_1____1.csv,457
PED_YT_DTL_SNF____c15_1____2.csv,457
PED_YT_DTL_SNF____c16_0____0.csv,495
PED_YT_DTL_SNF____c16_0____1.csv,495
PED_YT_DTL_SNF____c16_0____2.csv,495
PED_YT_DTL_SNF____c16_1____0.csv,499
PED_YT_DTL_SNF____c16_1____1.csv,499
PED_YT_DTL_SNF____c16_1____2.csv,499
PED_YT_DTL_SNF____c17_0____0.csv,499
PED_YT_DTL_SNF____c17_0____1.csv,499
PED_YT_DTL_SNF____c17_0____2.csv,499
PED_YT_DTL_SNF____c17_1____0.csv,499
PED_YT_DTL_SNF____c17_1____1.csv,499
PED_YT_DTL_SNF____c17_1____2.csv,499
PED_YT_DTL_SNF____c18_0____0.csv,510
PED_YT_DTL_SNF____c18_0____1.csv,510
PED_YT_DTL_SNF____c18_0____2.csv,510
PED_YT_DTL_SNF____c18_1____0.csv,499
PED_YT_DTL_SNF____c18_1____1.csv,499
PED_YT_DTL_SNF____c18_1____2.csv,499
PED_YT_DTL_SNF____c19_0____0.csv,510
PED_YT_DTL_SNF____c19_0____1.csv,510
PED_YT_DTL_SNF____c19_0____2.csv,510
PED_YT_DTL_SNF____c19_1____0.csv,499
PED_YT_DTL_SNF____c19_1____1.csv,499
PED_YT_DTL_SNF____c19_1____2.csv,499
PED_YT_DTL_SNF____c20_0____0.csv,510
PED_YT_DTL_SNF____c20_0____1.csv,510
PED_YT_DTL_SNF____c20_0____2.csv,510
PED_YT_DTL_SNF____c20_1____0.csv,494
PED_YT_DTL_SNF____c20_1____1.csv,494
PED_YT_DTL_SNF____c20_1____2.csv,494
PED_YT_DTL_SNF____c21_0____0.csv,495
PED_YT_DTL_SNF____c21_0____1.csv,495
PED_YT_DTL_SNF____c21_0____2.csv,495
PED_YT_DTL_SNF____c21_1____0.csv,495
PED_YT_DTL_SNF____c21_1____1.csv,495
PED_YT_DTL_SNF____c21_1____2.csv,495
PED_YT_DTL_SNF____c22_0____0.csv,490
PED_YT_DTL_SNF____c22_0____1.csv,490
PED_YT_DTL_SNF____c22_0____2.csv,490
PED_YT_DTL_SNF____c22_1____0.csv,503
PED_YT_DTL_SNF____c22_1____1.csv,503
PED_YT_DTL_SNF____c22_1____2.csv,503
PED_YT_DTL_SNF____c23_0____0.csv,495
PED_YT_DTL_SNF____c23_0____1.csv,495
PED_YT_DTL_SNF____c23_0____2.csv,495
PED_YT_DTL_SNF____c23_1____0.csv,510
PED_YT_DTL_SNF____c23_1____1.csv,510
PED_YT_DTL_SNF____c23_1____2.csv,510
PED_YT_DTL_SNF____c24_0____0.csv,510
PED_YT_DTL_SNF____c24_0____1.csv,510
PED_YT_DTL_SNF____c24_0____2.csv,510
PED_YT_DTL_SNF____c24_1____0.csv,510
PED_YT_DTL_SNF____c24_1____1.csv,510
PED_YT_DTL_SNF____c24_1____2.csv,510
PED_YT_DTL_SNF____c25_0____0.csv,510
PED_YT_DTL_SNF____c25_0____1.csv,510
PED_YT_DTL_SNF____c25_0____2.csv,510
PED_YT_DTL_SNF____c25_1____0.csv,510
PED_YT_DTL_SNF____c25_1____1.csv,510
PED_YT_DTL_SNF____c25_1____2.csv,510
PED_YT_DTL_SNF____c26_0____0.csv,510
PED_YT_DTL_SNF____c26_0____1.csv,510
PED_YT_DTL_SNF____c26_0____2.csv,510
PED_YT_DTL_SNF____c3_0____0.csv,323
PED_YT_DTL_SNF____c3_0____1.csv,323
PED_YT_DTL_SNF____c3_1____0.csv,213
PED_YT_DTL_SNF____c3_1____1.csv,213
PED_YT_DTL_SNF____c3_1____2.csv,213
PED_YT_DTL_SNF____c4_0____0.csv,323
PED_YT_DTL_SNF____c4_1____0.csv,337
PED_YT_DTL_SNF____c5_0____0.csv,322
PED_YT_DTL_SNF____c5_0____1.csv,322
PED_YT_DTL_SNF____c5_0____2.csv,322
PED_YT_DTL_SNF____c5_1____0.csv,92
PED_YT_DTL_SNF____c5_1____1.csv,92
PED_YT_DTL_SNF____c5_1____2.csv,92
PED_YT_DTL_SNF____c6_0____0.csv,337
PED_YT_DTL_SNF____c6_0____1.csv,337
PED_YT_DTL_SNF____c6_1____0.csv,337
PED_YT_DTL_SNF____c6_1____1.csv,337
PED_YT_DTL_SNF____c6_1____2.csv,337
PED_YT_DTL_SNF____c7_0____0.csv,469
PED_YT_DTL_SNF____c7_0____1.csv,469
PED_YT_DTL_SNF____c7_0____2.csv,469
PED_YT_DTL_SNF____c7_1____0.csv,479
PED_YT_DTL_SNF____c7_1____1.csv,479
PED_YT_DTL_SNF____c8_0____0.csv,362
PED_YT_DTL_SNF____c8_0____1.csv,362
PED_YT_DTL_SNF____c8_0____2.csv,362
PED_YT_DTL_SNF____c8_1____0.csv,457
PED_YT_DTL_SNF____c8_1____1.csv,457
PED_YT_DTL_SNF____c9_0____0.csv,458
PED_YT_DTL_SNF____c9_0____1.csv,458
PED_YT_DTL_SNF____c9_0____2.csv,458
PED_YT_DTL_SNF____c9_1____0.csv,358
PED_YT_DTL_SNF____c9_1____1.csv,358
PED_YT_DTL_SNF____c9_1____2.csv,358
t_014c2259cce4ab13____c10_0____0.csv,430
t_014c2259cce4ab13____c10_0____1.csv,430
t_014c2259cce4ab13____c10_0____2.csv,430
t_014c2259cce4ab13____c10_0____3.csv,430
t_014c2259cce4ab13____c10_0____4.csv,430
t_014c2259cce4ab13____c10_1____0.csv,400
t_014c2259cce4ab13____c10_1____1.csv,400
t_014c2259cce4ab13____c10_1____2.csv,400
t_014c2259cce4ab13____c10_1____3.csv,400
t_014c2259cce4ab13____c10_1____4.csv,400
t_014c2259cce4ab13____c11_0____0.csv,430
t_014c2259cce4ab13____c11_0____1.csv,430
t_014c2259cce4ab13____c11_0____2.csv,430
t_014c2259cce4ab13____c11_0____3.csv,430
t_014c2259cce4ab13____c11_0____4.csv,430
t_014c2259cce4ab13____c11_1____0.csv,300
t_014c2259cce4ab13____c11_1____1.csv,300
t_014c2259cce4ab13____c11_1____2.csv,300
t_014c2259cce4ab13____c11_1____3.csv,300
t_014c2259cce4ab13____c11_1____4.csv,300
t_014c2259cce4ab13____c12_0____0.csv,270
t_014c2259cce4ab13____c12_0____1.csv,270
t_014c2259cce4ab13____c12_0____2.csv,270
t_014c2259cce4ab13____c12_0____3.csv,270
t_014c2259cce4ab13____c12_0____4.csv,270
t_014c2259cce4ab13____c12_1____0.csv,300
t_014c2259cce4ab13____c12_1____1.csv,300
t_014c2259cce4ab13____c12_1____2.csv,300
t_014c2259cce4ab13____c12_1____3.csv,300
t_014c2259cce4ab13____c12_1____4.csv,300
t_014c2259cce4ab13____c13_0____0.csv,430
t_014c2259cce4ab13____c13_0____1.csv,430
t_014c2259cce4ab13____c13_0____2.csv,430
t_014c2259cce4ab13____c13_0____3.csv,430
t_014c2259cce4ab13____c13_0____4.csv,430
t_014c2259cce4ab13____c13_1____0.csv,300
t_014c2259cce4ab13____c13_1____1.csv,300
t_014c2259cce4ab13____c13_1____2.csv,300
t_014c2259cce4ab13____c13_1____3.csv,300
t_014c2259cce4ab13____c13_1____4.csv,300
t_014c2259cce4ab13____c14_0____0.csv,430
t_014c2259cce4ab13____c14_0____1.csv,430
t_014c2259cce4ab13____c14_0____2.csv,430
t_014c2259cce4ab13____c14_0____3.csv,430
t_014c2259cce4ab13____c14_0____4.csv,430
t_014c2259cce4ab13____c14_1____0.csv,300
t_014c2259cce4ab13____c14_1____1.csv,300
t_014c2259cce4ab13____c14_1____2.csv,300
t_014c2259cce4ab13____c14_1____3.csv,300
t_014c2259cce4ab13____c14_1____4.csv,300
t_014c2259cce4ab13____c15_0____0.csv,430
t_014c2259cce4ab13____c15_0____1.csv,430
t_014c2259cce4ab13____c15_0____2.csv,430
t_014c2259cce4ab13____c15_0____3.csv,430
t_014c2259cce4ab13____c15_0____4.csv,430
t_014c2259cce4ab13____c15_1____0.csv,430
t_014c2259cce4ab13____c15_1____1.csv,430
t_014c2259cce4ab13____c15_1____2.csv,430
t_014c2259cce4ab13____c15_1____3.csv,430
t_014c2259cce4ab13____c15_1____4.csv,430
t_014c2259cce4ab13____c16_0____0.csv,300
t_014c2259cce4ab13____c16_0____1.csv,300
t_014c2259cce4ab13____c16_0____2.csv,300
t_014c2259cce4ab13____c16_0____3.csv,300
t_014c2259cce4ab13____c16_0____4.csv,300
t_014c2259cce4ab13____c16_1____0.csv,430
t_014c2259cce4ab13____c16_1____1.csv,430
t_014c2259cce4ab13____c16_1____2.csv,430
t_014c2259cce4ab13____c16_1____3.csv,430
t_014c2259cce4ab13____c16_1____4.csv,430
t_014c2259cce4ab13____c17_0____0.csv,430
t_014c2259cce4ab13____c17_0____1.csv,430
t_014c2259cce4ab13____c17_0____2.csv,430
t_014c2259cce4ab13____c17_0____3.csv,430
t_014c2259cce4ab13____c17_0____4.csv,430
t_014c2259cce4ab13____c17_1____0.csv,430
t_014c2259cce4ab13____c17_1____1.csv,430
t_014c2259cce4ab13____c17_1____2.csv,430
t_014c2259cce4ab13____c17_1____3.csv,430
t_014c2259cce4ab13____c17_1____4.csv,430
t_014c2259cce4ab13____c18_0____0.csv,300
t_014c2259cce4ab13____c18_0____1.csv,300
t_014c2259cce4ab13____c18_0____2.csv,300
t_014c2259cce4ab13____c18_0____3.csv,300
t_014c2259cce4ab13____c18_0____4.csv,300
t_014c2259cce4ab13____c18_1____0.csv,300
t_014c2259cce4ab13____c18_1____1.csv,300
t_014c2259cce4ab13____c18_1____2.csv,300
t_014c2259cce4ab13____c18_1____3.csv,300
t_014c2259cce4ab13____c18_1____4.csv,300
t_014c2259cce4ab13____c19_0____0.csv,300
t_014c2259cce4ab13____c19_0____1.csv,300
t_014c2259cce4ab13____c19_0____2.csv,300
t_014c2259cce4ab13____c19_0____3.csv,300
t_014c2259cce4ab13____c19_0____4.csv,300
