File,Label
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____4.parquet,1
t_1d580f266b2a923b____c3_1____0.parquet,1
t_1d580f266b2a923b____c3_1____1.parquet,1
t_1d580f266b2a923b____c3_1____2.parquet,1
t_1d580f266b2a923b____c3_1____3.parquet,1
t_8b2f04db4903263f____c4_0____0.parquet,1
t_8b2f04db4903263f____c4_0____1.parquet,1
t_8b2f04db4903263f____c4_0____2.parquet,1
t_8b2f04db4903263f____c4_0____3.parquet,1
t_8b2f04db4903263f____c4_0____4.parquet,1
t_8b2f04db4903263f____c4_1____0.parquet,1
t_8b2f04db4903263f____c4_1____1.parquet,1
t_8b2f04db4903263f____c4_1____2.parquet,1
t_8b2f04db4903263f____c4_1____4.parquet,1
t_8b2f04db4903263f____c5_1____0.parquet,1
t_8b2f04db4903263f____c5_1____1.parquet,1
t_8b2f04db4903263f____c5_1____2.parquet,1
t_8b2f04db4903263f____c5_1____4.parquet,1
t_1d580f266b2a923b____c3_0____0.parquet,1
t_1d580f266b2a923b____c3_0____1.parquet,1
t_1d580f266b2a923b____c3_0____3.parquet,1
t_1d580f266b2a923b____c3_0____4.parquet,1
t_1d580f266b2a923b____c4_0____0.parquet,1
t_1d580f266b2a923b____c4_0____1.parquet,1
t_1d580f266b2a923b____c4_0____3.parquet,1
t_1d580f266b2a923b____c3_1____4.parquet,1
t_8b2f04db4903263f____c5_0____0.parquet,1
t_8b2f04db4903263f____c5_0____1.parquet,1
t_8b2f04db4903263f____c5_0____2.parquet,1
t_8b2f04db4903263f____c5_0____3.parquet,1
t_8b2f04db4903263f____c5_0____4.parquet,1
t_8b2f04db4903263f____c7_0____0.parquet,1
t_8b2f04db4903263f____c7_0____1.parquet,1
t_8b2f04db4903263f____c7_0____2.parquet,1
t_8b2f04db4903263f____c7_0____3.parquet,1
t_8b2f04db4903263f____c7_0____4.parquet,1
t_8b2f04db4903263f____c7_1____0.parquet,1
t_8b2f04db4903263f____c7_1____1.parquet,1
t_8b2f04db4903263f____c7_1____2.parquet,1
t_8b2f04db4903263f____c7_1____3.parquet,1
t_8b2f04db4903263f____c7_1____4.parquet,1
t_8b2f04db4903263f____c8_0____0.parquet,1
t_8b2f04db4903263f____c8_0____1.parquet,1
t_8b2f04db4903263f____c8_0____2.parquet,1
t_8b2f04db4903263f____c8_0____3.parquet,1
t_8b2f04db4903263f____c8_0____4.parquet,1
t_8b2f04db4903263f____c9_0____0.parquet,1
t_8b2f04db4903263f____c9_0____1.parquet,1
t_8b2f04db4903263f____c9_0____2.parquet,1
t_8b2f04db4903263f____c9_0____3.parquet,1
t_8b2f04db4903263f____c9_0____4.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c1_0____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c2_0____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c3_1____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c1_1____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c3_0____0.parquet,1
t_8b2f04db4903263f____c3_0____0.parquet,1
t_8b2f04db4903263f____c3_0____1.parquet,1
t_8b2f04db4903263f____c3_0____2.parquet,1
t_8b2f04db4903263f____c3_0____3.parquet,1
t_8b2f04db4903263f____c3_0____4.parquet,1
t_8b2f04db4903263f____c3_1____0.parquet,1
t_8b2f04db4903263f____c3_1____1.parquet,1
t_8b2f04db4903263f____c3_1____2.parquet,1
t_8b2f04db4903263f____c3_1____3.parquet,1
t_8b2f04db4903263f____c3_1____4.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c2_1____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c4_0____0.parquet,1
t_8b2f04db4903263f____c4_1____3.parquet,1
t_8b2f04db4903263f____c6_0____0.parquet,1
t_8b2f04db4903263f____c6_0____1.parquet,1
t_8b2f04db4903263f____c6_0____2.parquet,1
t_8b2f04db4903263f____c6_0____3.parquet,1
t_8b2f04db4903263f____c6_0____4.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c5_0____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c5_1____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c6_0____0.parquet,1
NSF_Plant_Genome_Research_Program_Awards____c4_1____0.parquet,4
t_8b2f04db4903263f____c9_1____0.parquet,1
t_8b2f04db4903263f____c9_1____1.parquet,1
t_8b2f04db4903263f____c9_1____2.parquet,1
t_8b2f04db4903263f____c9_1____3.parquet,1
t_8b2f04db4903263f____c9_1____4.parquet,1
t_8b2f04db4903263f____c10_1____0.parquet,1
t_8b2f04db4903263f____c10_1____1.parquet,1
t_8b2f04db4903263f____c10_1____2.parquet,1
t_8b2f04db4903263f____c10_1____3.parquet,1
t_8b2f04db4903263f____c10_1____4.parquet,1
t_8b2f04db4903263f____c11_1____0.parquet,1
t_8b2f04db4903263f____c11_1____1.parquet,1
t_8b2f04db4903263f____c11_1____2.parquet,1
t_8b2f04db4903263f____c11_1____3.parquet,1
t_8b2f04db4903263f____c11_1____4.parquet,1
PED_SK_DTL_SNF____c10_0____3.parquet,6
PED_SK_DTL_SNF____c10_1____0.parquet,6
PED_SK_DTL_SNF____c10_1____1.parquet,6
PED_SK_DTL_SNF____c10_1____2.parquet,6
PED_SK_DTL_SNF____c10_1____3.parquet,6
PED_SK_DTL_SNF____c10_1____4.parquet,6
PED_SK_DTL_SNF____c14_0____0.parquet,6
PED_SK_DTL_SNF____c14_0____1.parquet,6
PED_SK_DTL_SNF____c14_0____2.parquet,6
PED_SK_DTL_SNF____c14_0____3.parquet,6
PED_SK_DTL_SNF____c14_0____4.parquet,6
PED_SK_DTL_SNF____c14_1____0.parquet,6
PED_SK_DTL_SNF____c14_1____1.parquet,6
PED_SK_DTL_SNF____c14_1____2.parquet,6
PED_SK_DTL_SNF____c14_1____3.parquet,6
PED_SK_DTL_SNF____c14_1____4.parquet,6
PED_SK_DTL_SNF____c16_1____0.parquet,6
PED_SK_DTL_SNF____c16_1____1.parquet,6
PED_SK_DTL_SNF____c16_1____2.parquet,6
PED_SK_DTL_SNF____c16_1____3.parquet,6
PED_SK_DTL_SNF____c16_1____4.parquet,6
PED_SK_DTL_SNF____c18_1____0.parquet,6
PED_SK_DTL_SNF____c18_1____1.parquet,6
PED_SK_DTL_SNF____c18_1____2.parquet,6
PED_SK_DTL_SNF____c18_1____3.parquet,6
PED_SK_DTL_SNF____c18_1____4.parquet,6
PED_SK_DTL_SNF____c19_1____0.parquet,6
PED_SK_DTL_SNF____c19_1____1.parquet,6
PED_SK_DTL_SNF____c19_1____2.parquet,6
PED_SK_DTL_SNF____c19_1____3.parquet,6
PED_SK_DTL_SNF____c19_1____4.parquet,6
PED_SK_DTL_SNF____c21_0____0.parquet,6
PED_SK_DTL_SNF____c21_0____1.parquet,6
PED_SK_DTL_SNF____c21_0____2.parquet,6
PED_SK_DTL_SNF____c21_0____3.parquet,6
PED_SK_DTL_SNF____c21_0____4.parquet,6
PED_SK_DTL_SNF____c22_1____0.parquet,6
PED_SK_DTL_SNF____c22_1____1.parquet,6
PED_SK_DTL_SNF____c22_1____2.parquet,6
PED_SK_DTL_SNF____c22_1____3.parquet,6
PED_SK_DTL_SNF____c22_1____4.parquet,6
PED_SK_DTL_SNF____c2_0____0.parquet,6
PED_SK_DTL_SNF____c4_0____0.parquet,6
PED_SK_DTL_SNF____c4_0____1.parquet,6
PED_SK_DTL_SNF____c4_0____2.parquet,6
PED_SK_DTL_SNF____c6_1____1.parquet,6
PED_SK_DTL_SNF____c6_1____3.parquet,6
PED_SK_DTL_SNF____c6_1____4.parquet,6
PED_SK_DTL_SNF____c7_1____0.parquet,6
PED_SK_DTL_SNF____c7_1____1.parquet,6
PED_SK_DTL_SNF____c7_1____2.parquet,6
PED_SK_DTL_SNF____c7_1____3.parquet,6
PED_SK_DTL_SNF____c7_1____4.parquet,6
PED_SK_DTL_SNF____c8_0____0.parquet,6
PED_SK_DTL_SNF____c8_0____1.parquet,6
PED_SK_DTL_SNF____c8_0____2.parquet,6
PED_SK_DTL_SNF____c8_0____3.parquet,6
PED_SK_DTL_SNF____c8_0____4.parquet,6
PED_SK_DTL_SNF____c8_1____3.parquet,6
PED_SK_DTL_SNF____c9_0____0.parquet,6
PED_SK_DTL_SNF____c9_0____1.parquet,6
PED_SK_DTL_SNF____c9_0____2.parquet,6
PED_SK_DTL_SNF____c9_0____3.parquet,6
PED_SK_DTL_SNF____c9_0____4.parquet,6
PED_SK_DTL_SNF____c9_1____0.parquet,6
PED_SK_DTL_SNF____c9_1____1.parquet,6
PED_SK_DTL_SNF____c9_1____2.parquet,6
PED_SK_DTL_SNF____c9_1____3.parquet,6
PED_SK_DTL_SNF____c9_1____4.parquet,6
t_285b3bcd52ec0c86____c12_0____3.parquet,6
t_285b3bcd52ec0c86____c16_0____3.parquet,6
t_e9efd5cda78af711____c12_0____0.parquet,6
t_e9efd5cda78af711____c12_0____1.parquet,6
t_e9efd5cda78af711____c12_0____2.parquet,6
t_e9efd5cda78af711____c12_0____3.parquet,6
t_e9efd5cda78af711____c12_0____4.parquet,6
PED_SK_DTL_SNF____c12_0____0.parquet,6
PED_SK_DTL_SNF____c12_0____1.parquet,6
PED_SK_DTL_SNF____c12_0____2.parquet,6
PED_SK_DTL_SNF____c12_0____3.parquet,6
PED_SK_DTL_SNF____c12_0____4.parquet,6
PED_SK_DTL_SNF____c13_0____0.parquet,6
PED_SK_DTL_SNF____c13_0____1.parquet,6
PED_SK_DTL_SNF____c13_0____2.parquet,6
PED_SK_DTL_SNF____c13_0____3.parquet,6
PED_SK_DTL_SNF____c13_0____4.parquet,6
PED_SK_DTL_SNF____c15_0____0.parquet,6
PED_SK_DTL_SNF____c15_0____1.parquet,6
PED_SK_DTL_SNF____c15_0____2.parquet,6
PED_SK_DTL_SNF____c15_0____3.parquet,6
PED_SK_DTL_SNF____c15_0____4.parquet,6
PED_SK_DTL_SNF____c15_1____0.parquet,6
PED_SK_DTL_SNF____c15_1____1.parquet,6
PED_SK_DTL_SNF____c15_1____2.parquet,6
PED_SK_DTL_SNF____c15_1____3.parquet,6
PED_SK_DTL_SNF____c15_1____4.parquet,6
PED_SK_DTL_SNF____c16_0____0.parquet,6
PED_SK_DTL_SNF____c16_0____1.parquet,6
PED_SK_DTL_SNF____c16_0____2.parquet,6
PED_SK_DTL_SNF____c16_0____3.parquet,6
PED_SK_DTL_SNF____c16_0____4.parquet,6
PED_SK_DTL_SNF____c17_0____0.parquet,6
PED_SK_DTL_SNF____c17_0____1.parquet,6
PED_SK_DTL_SNF____c17_0____2.parquet,6
PED_SK_DTL_SNF____c17_0____3.parquet,6
PED_SK_DTL_SNF____c17_0____4.parquet,6
PED_SK_DTL_SNF____c17_1____0.parquet,6
PED_SK_DTL_SNF____c17_1____1.parquet,6
PED_SK_DTL_SNF____c17_1____2.parquet,6
PED_SK_DTL_SNF____c17_1____3.parquet,6
PED_SK_DTL_SNF____c17_1____4.parquet,6
PED_SK_DTL_SNF____c18_0____1.parquet,6
PED_SK_DTL_SNF____c18_0____3.parquet,6
PED_SK_DTL_SNF____c18_0____4.parquet,6
PED_SK_DTL_SNF____c19_0____0.parquet,6
PED_SK_DTL_SNF____c19_0____1.parquet,6
PED_SK_DTL_SNF____c19_0____2.parquet,6
PED_SK_DTL_SNF____c19_0____3.parquet,6
PED_SK_DTL_SNF____c19_0____4.parquet,6
PED_SK_DTL_SNF____c1_0____0.parquet,6
PED_SK_DTL_SNF____c20_0____0.parquet,6
PED_SK_DTL_SNF____c20_0____1.parquet,6
PED_SK_DTL_SNF____c20_0____2.parquet,6
PED_SK_DTL_SNF____c20_0____3.parquet,6
PED_SK_DTL_SNF____c20_0____4.parquet,6
PED_SK_DTL_SNF____c20_1____0.parquet,6
PED_SK_DTL_SNF____c20_1____1.parquet,6
PED_SK_DTL_SNF____c20_1____2.parquet,6
PED_SK_DTL_SNF____c20_1____3.parquet,6
PED_SK_DTL_SNF____c20_1____4.parquet,6
PED_SK_DTL_SNF____c21_1____0.parquet,6
PED_SK_DTL_SNF____c21_1____1.parquet,6
PED_SK_DTL_SNF____c21_1____2.parquet,6
PED_SK_DTL_SNF____c21_1____3.parquet,6
PED_SK_DTL_SNF____c21_1____4.parquet,6
PED_SK_DTL_SNF____c22_0____0.parquet,6
PED_SK_DTL_SNF____c22_0____1.parquet,6
PED_SK_DTL_SNF____c22_0____2.parquet,6
PED_SK_DTL_SNF____c22_0____3.parquet,6
PED_SK_DTL_SNF____c22_0____4.parquet,6
PED_SK_DTL_SNF____c23_0____0.parquet,6
PED_SK_DTL_SNF____c23_0____1.parquet,6
PED_SK_DTL_SNF____c23_0____2.parquet,6
PED_SK_DTL_SNF____c23_0____3.parquet,6
PED_SK_DTL_SNF____c23_0____4.parquet,6
t_285b3bcd52ec0c86____c12_1____0.parquet,6
t_285b3bcd52ec0c86____c12_1____1.parquet,6
t_285b3bcd52ec0c86____c12_1____2.parquet,6
t_285b3bcd52ec0c86____c12_1____3.parquet,6
t_285b3bcd52ec0c86____c12_1____4.parquet,6
t_285b3bcd52ec0c86____c13_0____0.parquet,6
t_285b3bcd52ec0c86____c13_0____1.parquet,6
t_285b3bcd52ec0c86____c13_0____2.parquet,6
t_285b3bcd52ec0c86____c13_0____3.parquet,6
t_285b3bcd52ec0c86____c13_0____4.parquet,6
t_285b3bcd52ec0c86____c14_1____0.parquet,6
t_285b3bcd52ec0c86____c14_1____1.parquet,6
t_285b3bcd52ec0c86____c14_1____2.parquet,6
t_285b3bcd52ec0c86____c14_1____3.parquet,6
t_285b3bcd52ec0c86____c14_1____4.parquet,6
t_285b3bcd52ec0c86____c15_1____0.parquet,6
t_285b3bcd52ec0c86____c15_1____1.parquet,6
t_285b3bcd52ec0c86____c15_1____2.parquet,6
t_285b3bcd52ec0c86____c15_1____3.parquet,6
t_285b3bcd52ec0c86____c15_1____4.parquet,6
t_285b3bcd52ec0c86____c16_1____0.parquet,6
t_285b3bcd52ec0c86____c16_1____1.parquet,6
t_285b3bcd52ec0c86____c16_1____2.parquet,6
t_285b3bcd52ec0c86____c16_1____3.parquet,6
t_285b3bcd52ec0c86____c16_1____4.parquet,6
t_285b3bcd52ec0c86____c17_0____0.parquet,6
t_285b3bcd52ec0c86____c17_0____1.parquet,6
t_285b3bcd52ec0c86____c17_0____2.parquet,6
t_285b3bcd52ec0c86____c17_0____3.parquet,6
t_285b3bcd52ec0c86____c17_0____4.parquet,6
t_285b3bcd52ec0c86____c17_1____0.parquet,6
t_285b3bcd52ec0c86____c17_1____1.parquet,6
t_285b3bcd52ec0c86____c17_1____2.parquet,6
t_285b3bcd52ec0c86____c17_1____3.parquet,6
t_285b3bcd52ec0c86____c17_1____4.parquet,6
t_285b3bcd52ec0c86____c18_0____0.parquet,6
t_285b3bcd52ec0c86____c18_0____1.parquet,6
t_285b3bcd52ec0c86____c18_0____2.parquet,6
t_285b3bcd52ec0c86____c18_0____3.parquet,6
t_285b3bcd52ec0c86____c18_0____4.parquet,6
t_285b3bcd52ec0c86____c18_1____0.parquet,6
t_285b3bcd52ec0c86____c18_1____1.parquet,6
t_285b3bcd52ec0c86____c18_1____2.parquet,6
t_285b3bcd52ec0c86____c18_1____3.parquet,6
t_285b3bcd52ec0c86____c18_1____4.parquet,6
t_285b3bcd52ec0c86____c19_0____0.parquet,6
t_285b3bcd52ec0c86____c19_0____1.parquet,6
t_285b3bcd52ec0c86____c19_0____2.parquet,6
t_285b3bcd52ec0c86____c19_0____3.parquet,6
t_285b3bcd52ec0c86____c19_0____4.parquet,6
t_285b3bcd52ec0c86____c19_1____0.parquet,6
t_285b3bcd52ec0c86____c19_1____1.parquet,6
t_285b3bcd52ec0c86____c19_1____2.parquet,6
t_285b3bcd52ec0c86____c19_1____3.parquet,6
t_285b3bcd52ec0c86____c19_1____4.parquet,6
t_285b3bcd52ec0c86____c20_1____0.parquet,6
t_285b3bcd52ec0c86____c20_1____1.parquet,6
t_285b3bcd52ec0c86____c20_1____2.parquet,6
t_285b3bcd52ec0c86____c20_1____3.parquet,6
t_285b3bcd52ec0c86____c20_1____4.parquet,6
t_285b3bcd52ec0c86____c21_0____0.parquet,6
t_285b3bcd52ec0c86____c21_0____1.parquet,6
t_285b3bcd52ec0c86____c21_0____2.parquet,6
t_285b3bcd52ec0c86____c21_0____3.parquet,6
t_285b3bcd52ec0c86____c21_0____4.parquet,6
t_e9efd5cda78af711____c10_1____0.parquet,6
t_e9efd5cda78af711____c10_1____1.parquet,6
t_e9efd5cda78af711____c10_1____2.parquet,6
t_e9efd5cda78af711____c10_1____3.parquet,6
t_e9efd5cda78af711____c10_1____4.parquet,6
t_e9efd5cda78af711____c13_1____0.parquet,6
t_e9efd5cda78af711____c13_1____1.parquet,6
t_e9efd5cda78af711____c13_1____2.parquet,6
t_e9efd5cda78af711____c13_1____3.parquet,6
t_e9efd5cda78af711____c13_1____4.parquet,6
t_e9efd5cda78af711____c8_0____0.parquet,6
t_e9efd5cda78af711____c8_0____1.parquet,6
t_e9efd5cda78af711____c8_0____2.parquet,6
t_e9efd5cda78af711____c8_0____3.parquet,6
t_e9efd5cda78af711____c8_0____4.parquet,6
t_e9efd5cda78af711____c9_0____0.parquet,6
t_e9efd5cda78af711____c9_0____1.parquet,6
t_e9efd5cda78af711____c9_0____2.parquet,6
t_e9efd5cda78af711____c9_0____3.parquet,6
t_e9efd5cda78af711____c9_0____4.parquet,6
PED_SK_DTL_SNF____c11_0____0.parquet,7
t_ece0594e0480a1ed____c3_0____0.parquet,7
t_ece0594e0480a1ed____c3_0____1.parquet,7
t_ece0594e0480a1ed____c3_0____2.parquet,7
t_ece0594e0480a1ed____c3_0____3.parquet,7
t_ece0594e0480a1ed____c3_0____4.parquet,7
t_ece0594e0480a1ed____c4_0____0.parquet,7
t_ece0594e0480a1ed____c4_0____1.parquet,7
t_ece0594e0480a1ed____c4_0____2.parquet,7
t_ece0594e0480a1ed____c4_0____3.parquet,7
t_ece0594e0480a1ed____c4_0____4.parquet,7
t_ece0594e0480a1ed____c5_0____0.parquet,7
t_ece0594e0480a1ed____c5_0____1.parquet,7
t_ece0594e0480a1ed____c5_0____2.parquet,7
t_ece0594e0480a1ed____c5_0____3.parquet,7
t_ece0594e0480a1ed____c5_0____4.parquet,7
t_ece0594e0480a1ed____c5_1____0.parquet,7
t_ece0594e0480a1ed____c5_1____1.parquet,7
t_ece0594e0480a1ed____c5_1____2.parquet,7
t_ece0594e0480a1ed____c5_1____3.parquet,7
t_ece0594e0480a1ed____c5_1____4.parquet,7
t_ece0594e0480a1ed____c6_0____0.parquet,7
t_ece0594e0480a1ed____c6_0____1.parquet,7
t_ece0594e0480a1ed____c6_0____2.parquet,7
t_ece0594e0480a1ed____c6_0____3.parquet,7
t_ece0594e0480a1ed____c6_0____4.parquet,7
t_ece0594e0480a1ed____c6_1____1.parquet,7
t_ece0594e0480a1ed____c6_1____3.parquet,7
t_ece0594e0480a1ed____c7_0____1.parquet,7
t_ece0594e0480a1ed____c7_0____3.parquet,7
PED_SK_DTL_SNF____c11_0____1.parquet,6
PED_SK_DTL_SNF____c11_0____2.parquet,7
PED_SK_DTL_SNF____c11_0____3.parquet,6
PED_SK_DTL_SNF____c11_0____4.parquet,6
PED_SK_DTL_SNF____c11_1____0.parquet,6
PED_SK_DTL_SNF____c11_1____1.parquet,6
PED_SK_DTL_SNF____c11_1____2.parquet,6
PED_SK_DTL_SNF____c11_1____3.parquet,6
PED_SK_DTL_SNF____c11_1____4.parquet,6
PED_SK_DTL_SNF____c18_0____0.parquet,6
PED_SK_DTL_SNF____c18_0____2.parquet,6
PED_SK_DTL_SNF____c8_1____0.parquet,6
PED_SK_DTL_SNF____c8_1____1.parquet,6
PED_SK_DTL_SNF____c8_1____2.parquet,6
PED_SK_DTL_SNF____c8_1____4.parquet,6
t_285b3bcd52ec0c86____c12_0____0.parquet,6
t_285b3bcd52ec0c86____c12_0____1.parquet,6
t_285b3bcd52ec0c86____c12_0____2.parquet,6
t_285b3bcd52ec0c86____c12_0____4.parquet,6
t_285b3bcd52ec0c86____c13_1____0.parquet,6
t_285b3bcd52ec0c86____c13_1____1.parquet,6
t_285b3bcd52ec0c86____c13_1____2.parquet,6
t_285b3bcd52ec0c86____c13_1____3.parquet,6
t_285b3bcd52ec0c86____c13_1____4.parquet,6
t_285b3bcd52ec0c86____c14_0____0.parquet,6
t_285b3bcd52ec0c86____c14_0____1.parquet,6
t_285b3bcd52ec0c86____c14_0____2.parquet,6
t_285b3bcd52ec0c86____c14_0____3.parquet,6
t_285b3bcd52ec0c86____c14_0____4.parquet,6
t_285b3bcd52ec0c86____c15_0____0.parquet,6
t_285b3bcd52ec0c86____c15_0____1.parquet,6
t_285b3bcd52ec0c86____c15_0____2.parquet,6
t_285b3bcd52ec0c86____c15_0____3.parquet,6
t_285b3bcd52ec0c86____c15_0____4.parquet,6
t_285b3bcd52ec0c86____c20_0____0.parquet,6
t_285b3bcd52ec0c86____c20_0____1.parquet,6
t_285b3bcd52ec0c86____c20_0____2.parquet,6
t_285b3bcd52ec0c86____c20_0____3.parquet,6
t_285b3bcd52ec0c86____c20_0____4.parquet,6
PED_SK_DTL_SNF____c13_1____0.parquet,6
PED_SK_DTL_SNF____c13_1____1.parquet,6
PED_SK_DTL_SNF____c13_1____2.parquet,6
PED_SK_DTL_SNF____c13_1____3.parquet,6
PED_SK_DTL_SNF____c13_1____4.parquet,6
PED_SK_DTL_SNF____c4_1____0.parquet,6
PED_SK_DTL_SNF____c4_1____1.parquet,6
PED_SK_DTL_SNF____c4_1____2.parquet,6
PED_SK_DTL_SNF____c4_1____3.parquet,6
PED_SK_DTL_SNF____c4_1____4.parquet,6
PED_SK_DTL_SNF____c6_1____0.parquet,6
PED_SK_DTL_SNF____c6_1____2.parquet,6
t_285b3bcd52ec0c86____c7_1____1.parquet,6
t_285b3bcd52ec0c86____c7_1____2.parquet,6
t_285b3bcd52ec0c86____c7_1____3.parquet,6
PED_SK_DTL_SNF____c12_1____0.parquet,6
PED_SK_DTL_SNF____c12_1____1.parquet,6
PED_SK_DTL_SNF____c12_1____2.parquet,6
PED_SK_DTL_SNF____c12_1____3.parquet,6
PED_SK_DTL_SNF____c12_1____4.parquet,6
t_285b3bcd52ec0c86____c3_0____1.parquet,6
t_285b3bcd52ec0c86____c3_0____2.parquet,6
