Text,Labels,file_names
@Company Industry Dividend Yield Industry Average Yield Increase Picks@The Laclede Group NYSE LG Gas utility 43 38 19@UGI NYSE UGI Gas utility 31 38 18@Westar Energy NYSE WR Electric utility 49 38 13@SCANA NYSE SCG Multiutilities 50 45 13@Suburban Propane Partners NYSE SPH Gas utility 61 38 12@Pepco Holdings NYSE POM Electric utility 59 38 11@DPL NYSE DPL Electric utility 50 38 11,Company,16867860_0_1493599384745288401
@S Company Ticker Exchange Industry SU@1 AFP Provida PVD NYSE Financial Services S@2 Banco de Chile BCH NYSE Banks S@3 Banco Santander Chile SAN NYSE Banks S@4 Compania Cervecerias Unidas CCU NYSE Beverages S@5 Corpbanca BCA NYSE Banks S@6 Embotelladora Andina Shares AKOA NYSE Beverages S@7 Embotelladora Andina B Shares AKOB NYSE Beverages S@8 EndesaEmpresa Nacional de Electricidad EOC NYSE Electricity S@9 Enersis ENI NYSE Electricity S@10 Lan Airlines LFL NYSE Travel Leisure S@11 Soc Quimica Minera de Chile SQM NYSE Chemicals S@12 Vina Concha Toro VCO NYSE Beverages S@13 Inversiones Aguas Metropolitanas IAM IAMTY OTC GasH20Multiutility S@14 Supermercados Unimarc UNRMY OTC Food Drug Retailers,Company,17362344_1_5095929604749154053
@Name Type AssetsMillions LocalBranches@Fifth Third Bank 1 Billion 56879 1@Firstmerit Bank National Association Commercial Lending 10291 1@Keybank National Association Commercial Lending 86504 1@National City Bank Commercial Lending 69600 1@US Bank National Association Commercial Lending 203477 1@ Disclaimer List guaranteed complete accurate,Company,17440221_1_1448643917281630024
@Country Receiving location affiliated Currency@China Agricultural Bank China Postal Savings Bank China China Everbright Bank Chinapay EPayment Service CoLtd Harbin Bank Co Ltd Bank Jilin Co Limited Fujian Haixia Bank Co Ltd Zhejiang Chouzhou Commercial Bank Co Ltd US Dollar@Philippines eBusiness Services Inc Universal Storefront Services Corp Villarica Pawnshop Philippine National Bank Robinson Savings Bank PH PesoUS Dollar@Brazil Banco Brasil SA Bradesco Action Cambio DTVM Corretora Souza Barros Encantur Fair Corretora de Cambio Ltda US Dollar@Peru DHL International SA Serviban SA Nuevo SolUS Dollar@Taiwan Cathay United Bank Chang Hwa Commercial Bank Kings Town Bank Ltd Taishin International Bank US Dollar@Hong Kong Hong Kong Post Lotus Forex Limited Travelex Currency Exchange Ltd Wall Street Exchange Limited HK dollarUS dollar@South Korea National Agricultural Cooperative Federation NH Bank Industrial Bank Korea Kookmin Bank Pusan Bank US Dollar@India State Bank India India Post ING Vysya Bank Ltd Reliance Money Express Limited Weizmann Forex Ltd Rupee@Indonesia PT Bank Internasional Indonesia PT POS Indonesia PT Bank Bumiputera Indonesia Bank Rakyat Indonesia Pt Bank Ekonomi Raharja Rupiah@Thailand Thailand Post CoLtd Central Department Store Co Ltd Bank Ayudhya Public Company Limited Bank Agriculture Agricultural Cooperatives Bangkok Bank Public Company Limited Baht@Vietnam Vietnam Post VP Bank Vietnam Bank Industry Trade Dba Vietinbank Vietnam Bank Agriculture Rural Development Bank Investment Development Vietnam US DollarVN Dong@USA KMART US BANK TRAVELEX CURRENCY FIFTH THIRD BANK CONTINENTAL CURRENCY US Dollar@UK Travelex Gracekennedy Money Services Uk Limited Finint Uk Ltd GAP Vassilopoulos Uk Limited Western Union Intl Bank GMBH Pound Sterling@Australia Australia Post American Express Foreign Exch Citilink Finance Australia Pty Ltd City Forex Aust Pty Ltd Travelex AU Dollar@Nigeria Ecobank Nigeria PLC Bank Phb Plc Diamond Bank PLC United Bank Africa Plc SKYE Bank PLC NairaUS Dollar@Ghana Ecobank Ghana Ltd Access Bank GhanaLimited Agricultural Development Bank Standard Chartered Bank Ghana Ltd Intercontinental Bank Ghana Limited New Ghana Cedi,Company,18335243_0_8881690283282252751
@Dubai Things Dubai Things Price guide Rating 5@1 Desert Safari Expensive 46@2 Ski Dubai Expensive 45@3 Burj Khalifa Expensive 45@4 Dubai Creek Budget 43@5 Jumeirah Beach Park Budget 43,Company,1904466_2_5599744226885603006
@RANK COMPANY 3 YEAR GROWTH REVENUE million STATE@9 One Source Networks 10305 149 million TX@30 Phone Power 6337 78 million CA@66 Link America 3224 1363 million TX@195 Star2Star Communications 1556 108 million FL@206 CFN Services 1518 111 million VA@212 CallingMart 1473 95 million FL@232 TeleQuality Communications 1377 32 million TX@297 Network Solutions Provider 1102 26 million CA@305 Access Media 3 1069 111 million IL@330 QuadGen Wireless Solutions 1006 111 million PA,Company,19172543_0_2469672734076921182
@sym company name industry beta pe div yld weight@mo altria group inc tobacco 054 13 63@aapl apple inc computerhardwareperip 084 12 00@azo autozone inc retailwhlsleauto part 045 14 00@bax baxter international inc medicalproducts 091 13 22@bbby bed bath amp beyond inc retailhome furnishing 093 16 00@cah cardinal health inc medicalwhlsle drgsuppl 094 14 20@celg celgene corp medicalbiomedbiotech 082 18 00@chk chesapeake energy oilampgasu explampprod 121 10 13@cmg chipotle mexican grill retailrestaurants 078 47 00@clx clorox co soap amp clng preparatns 059 17 36@coh coach inc apparelclothing mfg 130 17 16@ko coca cola co beveragesnonalcoholic 061 18 28@ed consolidated edison inc utilitydiversified 044 16 43@cost costco wholesale corp retailmajor disc chain 076 22 11@dal delta air line inc transportationairline 118 8 00@do diamond offshore drill oilampgasdrilling 113 9 09@ebay ebay inc retailinternet 133 16 00@f ford motor auto manufacturer 139 5 00@fcx freeport mcmrn cprampgld miningmetal ore 152 6 31@gild gilead science inc medicalbiomedbiotech 081 10 00@gs goldman sachs group inc banksmoney center 107 11 15@goog google inc internetcontent 092 15 00@hd home depot inc retailwhlslebldg prds 090 14 30@itw illinois tool work inc machinerygen industrial 113 12 34@intc intel corp elecsemiconductor mfg 075 10 38@isrg intuitive surgical inc medicalsystemsequip 104 34 00@jpm j p morgan chase amp co banksmoney center 131 7 33@jnj johnson amp johnson medicaldiversified 057 13 36@jnpr juniper network inc computernetworking 142 15 00@mar marriott international leisurelodging 129 20 14@mmc marsh amp mclennan insurancebrokers 097 15 33@ma mastercard inc cl financecrdtcardpmtpr 126 19 02@mcd mcdonalds corp retailrestaurants 051 17 32@nem newmont mining corp mininggoldsilvergems 039 13 20@nke nike inc cl b apparelshoes amp rel mfg 098 18 14@orcl oracle corp computer sftwrdatabase 124 13 08@px praxair inc chemicalsspecialty 090 18 21@pcp precision castparts corp aerospacedefense 113 19 01@pg procter amp gamble cosmeticspersonal care 046 15 33@pru prudential financial inc insurancelife 158 7 25@qcom qualcomm inc telecomconsumer prod 113 15 17@slb schlumberger ltd oilampgasfield service 138 17 17@tjx j x co inc retailapparelshoesacc 071 15 13@unp union pacific corp transportationrail 101 13 23@x united state steel corp steelproducers 174 16 09@vz verizon communication telecom svcsintegrated 062 17 54@dis walt disney company mediadiversified 100 11 13@wm waste management inc pollution control 093 15 43@wfm whole food market inc retailsupermini mkts 115 32 06@wynn wynn resort ltd leisuregamingequip 139 25 09@total must equal 100 total must equal 100 total must equal 100,Company,22870718_0_8249480766245225618
@headquarters huntington beach california united states@industry business servicesadvertising amp marketing@revenue 41 million@employees 11 50@links ocean medium websiteocean medium discussion,Company,2785113_0_956031189136675741
@rank company country industry sale bil profit bil asset bil market value bil@1 hsbc holding united kingdom banking 14650 1913 234898 18081@2 general electric united state conglomerate 17274 2221 79534 33093@3 bank america united state banking 11919 1498 171575 17653@4 jpmorgan chase united state banking 11635 1537 156215 13688@5 exxonmobil united state oil amp gas operation 35860 4061 24208 46551@6 royal dutch shell netherlands oil amp gas operation 35578 3133 26622 22109@7 bp united kingdom oil amp gas operation 28103 2060 23608 20494@8 toyota motor japan consumer durables 20380 1399 27638 17508@9 ing group netherlands insurance 19793 1265 193215 7578@10 berkshire hathaway united state diversified financials 11825 1321 27316 21665@10 royal bank scotland united kingdom banking 10845 1462 380751 7664@12 atampt united state telecommunication service 11893 1195 27564 21022@13 bnp paribas france banking 11616 1071 249441 8190@14 allianz germany insurance 13912 1090 154748 8030@15 total france oil amp gas operation 19974 1924 16575 18180@16 walmart store united state retailing 37880 1273 16338 19860@17 chevron united state oil amp gas operation 20397 1869 14879 17997@18 american intl group united state insurance 11006 620 106051 11820@19 gazprom russia oil amp gas operation 8176 2330 20172 30679@20 axa group france insurance 15170 775 106467 7033@21 banco santander spain banking 7226 1002 133272 11327@22 conocophillips united state oil amp gas operation 17150 1189 17776 12915@23 goldman sachs group united state diversified financials 8797 1160 111980 6716@24 citigroup united state banking 15923 362 218763 12344@25 barclays united kingdom banking 7970 876 243234 6243@26 edf group france utility 8160 769 27166 17081@27 eon germany utility 9404 986 20084 12622@28 eni italy oil amp gas operation 11927 1370 12815 12738@29 petrobraspetróleo brasil brazil oil amp gas operation 8752 1104 12998 23667@30 petrochina china oil amp gas operation 8824 1821 11170 54614@31 procter amp gamble united state household amp personal product 7974 1113 14440 20367@32 deutsche bank germany diversified financials 9550 745 148558 5627@33 unicredit group italy banking 6367 719 107721 7746@34 telefónica spain telecommunication service 8240 1300 14313 13842@35 mitsubishi ufj financial japan banking 4949 750 159156 9814@36 volkswagen group germany consumer durables 14900 564 21088 9023@37 ibm united state software amp service 9879 1042 12043 15762@38 arcelormittal luxembourg material 10522 1037 13365 10882@38 daimler germany consumer durables 14511 582 19977 8516@40 bbvabanco bilbao vizcaya spain banking 5434 894 73314 7829@41 well fargo united state banking 5359 806 57544 9637@42 icbc china banking 3748 631 96165 28957@43 credit suisse group switzerland diversified financials 8372 753 119475 5085@44 hbos united kingdom banking 10032 810 133617 4484@45 crédit agricole france banking 10159 649 166260 4573@45 nestlé switzerland food drink amp tobacco 9476 938 9906 18811@47 fortis netherlands diversified financials 12119 546 102098 4904@48 verizon communication united state telecommunication service 9347 565 18696 10427@49 france telecom france telecommunication service 7731 920 13709 8789@50 siemens germany conglomerate 10320 542 12672 11847@50 wachovia united state banking 5553 631 78290 6069@52 sinopecchina petroleum china oil amp gas operation 13379 690 7744 18638@53 hewlettpackard united state technology hardware amp equip 10767 785 8857 12204@54 lloyd tsb group united kingdom banking 5874 653 70108 5095@55 royal bank canada canada banking 4357 577 62996 6441@56 bank china china banking 3113 549 67957 17145@57 pfizer united state drug amp biotechnology 4842 814 11527 15217@58 johnson amp johnson united state drug amp biotechnology 6110 1058 8095 17551@59 samsung electronics south korea semiconductor 9226 856 8749 8784@60 statoilhydro norway oil amp gas operation 8900 752 8916 9836@61 generali group italy insurance 10216 317 48643 6079@62 ccbchina construction bank china banking 2916 593 69744 12655@63 microsoft united state software amp service 5790 1696 6734 25315@64 suez group france utility 6496 537 11489 8356@65 zurich financial service switzerland insurance 5505 563 38767 4576@66 nippon telegraph amp tel japan telecommunication service 9157 406 14971 6027@67 sanofiaventis france drug amp biotechnology 4095 768 10498 10117@68 honda motor japan consumer durables 9435 504 10182 5682@69 nokia finland technology hardware amp equip 7454 1052 5262 14566@70 munich germany insurance 6757 563 30603 3734@71 mizuho financial japan banking 3252 528 127217 4880@72 novartis switzerland drug amp biotechnology 4022 1262 7189 11162@73 metlife united state insurance 5301 432 55856 4132@74 roche holding switzerland drug amp biotechnology 4065 860 6772 16932@75 morgan stanley united state diversified financials 8533 256 104541 4653@76 vale brazil material 3323 1026 7470 16139@77 rio tinto united kingdomaustralia material 2970 731 10081 16548@78 china mobile hong kongchina telecommunication service 3706 829 6244 30859@79 glaxosmithkline united kingdom drug amp biotechnology 4507 1035 5716 12005@80 basf germany chemical 8460 593 6733 6096@81 rwe group germany utility 5617 364 11950 6819@82 sumitomo mitsui financial japan banking 3304 376 85075 5610@83 bhp billiton australiaunited kingdom material 3950 1342 5336 19062@84 time warner united state medium 4648 439 13383 5583@85 banco bradesco brazil banking 3612 411 19265 5980@85 kbc group belgium banking 3522 466 51798 4366@87 dexia belgium banking 14078 347 88998 2804@88 altria group united state food drink amp tobacco 3805 916 5721 15420@89 national australia bank australia banking 3888 406 49944 4395@90 cisco system united state technology hardware amp equip 3768 807 5530 14539@91 manulife financial canada insurance 3308 401 17858 5918@92 bank nova scotia canada banking 2802 425 43130 4808@93 intel united state semiconductor 3833 698 5565 11559@94 unilever netherlandsunited kingdom food drink amp tobacco 5482 530 5340 9275@95 torontodominion bank canada banking 2651 420 44356 4838@96 nissan motor japan consumer durables 8909 392 10420 3790@97 lehman bros holding united state diversified financials 5900 419 69106 2705@98 carrefour group france food market 11240 315 7573 4995@99 commonwealth bank australia banking 2648 380 36042 5186@100 boeing united state aerospace amp defense 6639 407 5899 6332,Company,28079336_1_3124145965038277571
@date company total laid industry@mmddyyyy company name industry@1282009 starbucks 6700 restaurants@1282009 boeing 10000 aerospace@1282009 time warner 1500 media@1272009 target 1000 retailing@@1272009 masco 600 construction@1262009 ibm 2800 software@1262009 texas instrument 3400 semiconductors@1262009 lincoln national 540 insurance@1262009 caterpillar 20814 capital goods@1262009 general motor 9758 durables@1262009 home depot 7000 retailing@1262009 pfizer 19800 pharmaceuticals@1262009 sprint nextel 8000 telecommunications@1232009 abercrombie amp fitch 50 retailing@1232009 deere amp company 662 capital goods@1232009 harleydavidson 1100 consumer durables@1222009 microsoft 5000 software@1222009 huntsman 1665 chemicals@1212009 burlington santa fe 2500 transportation@1212009 ual 1000 transportation@1212009 spx 400 conglomerates@1212009 intel 5000 semiconductors@1212009 walt disney 600 media@1212009 wynn resort 53 leisure@1212009 eaton 5609 capital goods@1202009 clear channel 1850 media@1202009 deere amp co 160 capital goods@1162009 conocophillips 1300 oil amp gas@1162009 hertz global holding 4000 business services@1162009 wellpoint 600 health care@1162009 advanced micro device 1700 semiconductors@1152009 xerox 275 business services@1152009 meadwestvaco 2000 materials@1152009 autodesk 750 software@1152009 marshall amp ilsley 830 banking@1152009 general electric 1000 conglomerates@1142009 ecolab 1000 chemicals@1142009 delta air line 2000 transportation@1142009 motorola 4000 technology@1142009 google 100 software@1132009 keycorp 200 banking@1132009 newell rubbermaid 75 household@1132009 cummins 1300 capital goods@1122009 textron 2665 conglomerates@1122009 mosaic 1000 chemicals@1122009 best buy 500 retailing@1122009 precision castparts 40 defense@192009 oracle 500 software@192009 smithfield food 75 food@192009 freeportmcmoran copper amp gold 2750 materials@182009 union pacific 230 transportation@182009 general dynamic 179 defense@172009 walgreen 1000 retailing@172009 emc 2400 technology@162009 alcoa 13500 materials@152009 cigna 1100 health care@152009 united state steel 4225 materials@12312008 mohawk industry 160 consumer durables@12312008 tyson food 120 food@12312008 target 132 retailing@12302008 allegheny technology 323 materials@12302008 motorola 400 technology@12232008 ula boeing lockheed martin 172 joint venture@12232008 johnson control 125 consumer durables@12232008 la vega sand 11500 leisure@12222008 parkerhannifin 405 capital goods@12192008 genworth financial 1000 insurance@12192008 electronic art 1000 software@12192008 sovereign bancorp 1000 banking@12182008 omnicom group 3145 media@12172008 ryder system 3100 services@12172008 western digital 2500 technology@12172008 aetna 1000 health care@12172008 parkerhannifin 46 capital goods@12172008 bristolmyers squibb 3700 pharmaceuticals@12162008 cbs 30 media@12152008 merrill lynch 400 financials@12152008 charles schwab 100 financials@12132008 berkshire hathaway 345 finance@12122008 international paper 2050 materials@12112008 bank america 35000 banking@12112008 whirlpool 250 durables@12102008 mohawk industry 105 durables@12102008 procter amp gamble 320 household@12092008 praxair 1600 chemicals@12082008 anheuserbusch co 1400 food@12082008 3m 2300 conglomerates@12082008 wyndham worldwide 4000 leisure@12082008 dow chemical 5000 chemicals@12052008 legg mason 200 financials@12052008 cablevision 100 media@12052008 staple 140 retailing@12042008 steel dynamic 65 materials@12042008 windstream 170 telecommunications@12042008 general electric 500 conglomerates@12042008 ei du pont de nemours 2500 chemicals@12042008 atampt 12000 telecommunications@12032008 united technology 350 conglomerates@12032008 gannett 2000 media@12032008 adobe system 600 software@12032008 jefferies group 300 financials@12032008 viacom 850 media@12012008 jpmorgan chase 9200 banking@12012008 pepsico 87 food@11252008 dana holding 50 durables@11242008 blackrock 10 financials@11212008 western union 200 business services@11202008 bank new york mellon 1800 banking@11202008 boeing 800 aerospace@11172008 citigroup 52000 banking@11142008 sun microsystems 6000 technology@11122008 applied material 1800 technology@11122008 morgan stanley 2000 finance@11122008 liberty medium 910 retailing@11112008 ak steel holding 800 materials@1172008 ford motor 2600 durables@1162008 mattel 1000 household@1162008 mgm mirage 400 leisure@1142008 hartford financial service group 500 finance,Company,28079336_2_2139598421036200532
@company industry sales@sony sony picture audio video equipment 71 bil@dell computer hardware 47 bil@hitachi electronic equipment 83 bil@hewlettpackard company diversified computer system 78 bil@panasonic matsushita electronics 36 bil@pioneer electronic equipment 7 bil@philips electronic equipment 38 bil@samsung electronics 41 bil@metrogoldwynmayer inc mgm move production theater 2 bil@the walt disney co entertainment diversified 30 bil,Company,28423212_0_2742990779532526553
@Rank Name Country Industry Sales bil Profits bil Assets bil Market Value bil@96 Statoil Group Norway Oil gas operation 5781 455 4220 5521@178 Norsk Hydro Norway Conglomerates 2579 231 3363 2923@342 DnB Norway Banking 653 122 11734 1624@427 Telenor Norway Telecommunications service 1001 088 1402 1877@618 Orkla Norway Food drink tobacco 819 086 1104 902@1034 Yara International Norway Chemicals 710 062 431 470@1008 Storebrand Norway Insurance 449 039 2844 286@1490 Aker Norway Oil gas operation 852 009 634 319@1818 Norske Skogindustrier Norway Materials 381 013 765 283,Company,29805275_0_6329367004902471521
