college or university,center office or program,city state
university of notre dame,center for social concerns,notre dame in
university of oregon,community service center,eugene or
university of oregon,environmental studies service learning program,eugene or
university of pennsylvania,center for community partnerships,philadelphia pa
university of pennsylvania,civic house,philadelphia pa
university of pittsburgh,health care to underserved populations,pittsburgh pa
university of pittsburgh,pennsylvania service-learning alliance,pittsburgh pa
university of redlands,community service learning,redlands ca
university of rhode island,feinstein center for service learning,kingston ri
university of richmond,service-learning program,richmond va
university of san diego,office for community service-learning,san diego ca
university of san francisco,community service&amp;service learning programs,san francisco ca
university of scranton &amp; marywood university,collegiate volunteers,scranton pa
university of scranton,panuska college...office of service learning,scranton pa
university of south florida,community experiential learning (cel)program,tampa fl
university of southern california,joint educational project (jep),los angeles ca
university of southern colorado,community research services,pueblo co
university of southern maine,c/o center for teaching,portland me
university of southern maine/lewiston-auburn college,NULL,lewiston me
university of southern mississippi,mississippi center for community and civic engagement,hattiesburg ms
university of southern mississippi,office of community service-learning,hattiesburg ms
university of st. thomas,service learning,st. paul mn
university of surrey roehampton,service learning,london uk
university of texas at austin,the texas center for service-learning,austin tx
university of texas at austin,university volunteer center,austin tx
university of texas at dallas,service learning,richardson tx
university of texas - san antonio,do it! service-learning program,san antonio tx
university of utah,lowell bennion community service center,salt lake city ut
university of vermont,the service-learning internship program (slip),burlington vt
university of washington,carlson leadership and public service center,seattle wa
university of west florida,center for learning through organized volunteer efforts,pensacola fl
university of west georgia,academic service-learning program,carrollton ga
university of wisconsin,wisconsin partnerships in service learning,river falls wi
university of wisconsin - barron county,experiential programs,rice lake wi
university of wisconsin - eau claire,center for service-learning,eau claire wi
university of wisconsin - green bay,service learning site,green bay wi
university of wisconsin - madison,morgridge center for public service,madison wi
university of wisconsin - milwaukee,institute for service learning,milwaukee wi
university of wisconsin - river falls,service learning help desk,river falls wi
university of wisconsin - whitewater,sos: students organized for service,whitewater wi
v,NULL,NULL
vanderbilt university,center for teaching,nashville tn
villanova university,NULL,villanova pa
virginia commonwealth university,office of community programs,richmond va
virginia polytechnic institute &amp; state univ.,service-learning center,blacksburg va
w,NULL,NULL
wagner college,experiential learning center,staten island ny
wake forest university,volunteer services,winston-salem nc
warren wilson college,service-learning program,asheville nc
washington state university,community service learning center,pullman wa
washtenaw community college,workplace learning center,ann arbor mi
waynesburg college,center for service leadership,waynebsurg pa
wesleyan university,office of community services (ocs),middletown ct
west virginia university,office of service-learning,morgantown wv
western michigan university,student volunteer services,kalamazoo mi
western montana college univ.of montana,center for service-learning,dillon mt
western state college of colorado,service-learning center,gunnison co
westminster college,office of student life,fulton mo
westminster college,volunteer center,salt lake city
westmont college,san francisco urban program,san francisco ca
wheaton college,filene center for work &amp; learning,norton ma
wheeling jesuit university,NULL,wheeling wv
willamette university,community outreach program,salem or
wilmington college,center for service learning,wilmington oh
