title,length,artist,album,year,language
Saints & Sinners - Wheels of Fire,230,nan,Saints & Sinners,nan,nan
011-Dey Want Some,4m 12sec,BeatKing feat. Slim Thug  Kirko Bangz & Bun B,Club God 2 (2012),nan,Eng.
Charlie Walker,157533,Charlie Walker,Pick Me Up on Your Way Down,nan,nan
It's a Heartache,210120,Bonnie Tyler,Seventies Top 100  Volume 2,2008,English
Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,nan,Englih
Sea Breeze (full mix) (Massive - Rock/Pop),00:30,Frank Burgo & David Haig,Massive - Rock/Pop,nan,nan
Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,nan,'98,Engilsh
007-Introduction et Variations sur une Ronde Populaire,8m 32sec,Gabriel Pierne,Encore! (1998),nan,Eng.
Introduction et Variations sur une Ronde Populaire,512533,Gabriel Pierén,Encore!,1998,English
011-Der Weg Zum Licht,7m 9sec,Nihilistic Front,Mia Runa (2005),nan,Eng.
Selffish - Sound Judgement,319,nan,electronica@*.lv,3,English
Domenico Modugno - La distania es como el viento,240,nan,Románticos Inolvidables Vol 2,nan,Spanish
La distancia es como el viento,240000,Domenico Modugno,Románticos Inolvidables Vol 2,nan,Spanish
La distancia es como el viento - Románticos Inolvidables Vol 2,4,Domenico Modugno,nan,nan,Spanish
012-La distancia es como el viento,4m 0sec,Domenico Modugno,Romanticos Inolvidables Vol 2 (unknown),nan,Spa.
La distancia es como el viento (Románticos Inolvidables Vol 2),04:00,Domenico Modugno,Románticos Inolvidables Vol 2,nan,nan
Lark Daddy - Flip Flop,270,nan,Eleven Phases: Detroit Compilation,98,English
Flip Flop - Eleven Phases: Detroit Compilation,4.5,Lark Daddy,nan,'98,English
'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,nan
Ottorino Respighi - 'Pines of Rome' - The Pines of the Villa BorghesRe,162,nan,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,95,English
020-Annemarie,1m 46sec,Feest Team,Apres Ski Safari: Vol 4 (2007),nan,n.a.
005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),nan,Eng.
Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,402840,Ella Fitzgerald,30 by Ella,1999,English
Uriah Heep - Southern Star,266,nan,Into the Wild,11,English
0B1-Southern Star,4m 26sec,Heep Uriah,Into the Wild (2011),nan,Eng.
Southern Star - Into the Wild,4.433,Uriah Heep,nan,'11,English
Southern Star,266000,nan,Into the Wild,2011,English
Southern Star (Into the Wild),04:26,Uriah Heep,Into the Wild,2011,nan
Guns N’ Roses - Estranged,681,nan,Revolution Calling,91,English
Estranged - Revolution Calling,11.35,Guns N’ Roses,nan,'91,English
"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",2.642,Lovett Sisters,nan,'01,English
005-Al verte las flores lloran,2m 42sec,Camaron de la Isla,Una leyenda flamenca (1992),nan,Spa.
006-Murder & Mayhem,6m 26sec,Noelle Hampton,Under  These Skies (unknown),nan,E.
Mindsweeping - Cinematograph,0.85,Scrooge,nan,'97,[Multiple languages]
011-Easter Processions: Hymne,2m 41sec,[religious music],The Inspiration f Gregorian Chant (1995),nan,Lat.
Easter Processions: Hymne (The Inspiration of Gregorian Chant),02:41,[religious music],The Inspiration of Gregorian Chant,1995,nan
EasterProcessions:Hymne,161560,[religious music],The Inspiration of Gregorian Chant,1995,Latin
Red Chips,330946,nan,The Working Model (Reverse),2003,English
Boytronic - Red Chips,330,nan,The Working Model (Reverse),3,English
Red Chips (The Working Model (Reverse)),05:30,Boytronic,The Working Model (Reverse),2003,nan
Mi apuesta - Es,4.283,Eruca Sativa,nan,'10,Spanish
010-Mi apuesta,4m 17sec,Eruca Sativa,Es (2010),nan,Spa.
Tropical Dudes - Busybodies,227,nan,Tropical Monsters,8,English
005-Piranhes,5m 12sec,Rattler,Demo 2012 (unknown),nan,Eng.
003-Jayne,3m 37sec,Stereophonics,The Sunday Times: The State of Independence - V2 (2007),nan,Eng.
Jayne (The Sunday Times: The State of Independence - V2),03:37,Stereophonics,Sunday Times: The State of Independence - V2,2007,nan
Jayne,217493,Stereophonics,The Sunday Times: The State of Independence - V2,2007,Englis
Stereophonics---Jayne,217,nan,The Sunday Times :The State of Independence - V2,7,English
Why Not - The Lizzi eMcGuire Movie,2.981,Hilary Duff,nan,' 03,English
001-Why_Not,2m 58sec,Hilary Duff,The Lizzie McGuire Movie (2003),nan,Eng.
Why Not,178866,Hilary Duff,The Lizzie McGuire Movie,2003,Eglish
001-Nation of Sorrow,unknown,Battle Zone,Arson Around With Matches (unknown),nan,Eng.
Nation of Sorrow,nan,Battle Zone,Arson Around With Matches,nan,English
Ronin on Air,181000,Younnat,Radiovision,nan,English
022-Over There Story,unknown,Kruger Brothers,Carolina Scrapbook (1999),nan,nan
Molly Half Head - Vivid Whitsun,276,nan,Sulk,93,English
Vivid Whitsun,276000,Molly Half Head,Sulk,1993,Englihs
Vivid Whitsun - Sulk,4.6,Molly Half Head,nan,'93,English
Vivid Whitsun (Sulk),04:36,Molly Half Head,Sulk,1993,nan
001-Vivid Whitsun,4m 36sec,Molly Half Head,Sulk (1993),nan,Eng.
Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
005-Nefes (live in Bodrum),7m 0sec,Telvin,Telvin (2006),nan,Tur.
Nefes (live in Bodrum) - Telvin,7,Telvin,nan,'06,Turkish
Nefes (live in Bodrum) (Telvin),07:00,Telvin,Telvin,1996,nan
Telvin - Nefes (live in Bodrum),420,nan,Telvin,6,Turkish
慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,0.104,マリア starring 田中理恵,nan,'07,Japanese
001-Stronger Woman,4m 2sec,Jewel,Perfectly Clear (2008),nan,Eng.
Stronger Woman,242693,Jewel,Perfectly Clear,2008,English
ホームワーク (オリジナル・カラオケ) (ANNIVERSARY〜無限にCALLING YOU),00:00,松任谷由実,ANNIVERSARY〜無限にCALLING YOU,1989,nan
aMnassas - Johnny's Garden,167,nan,Carry On,98,English
Symphony X - Of Sins and Shadows,nan,nan,2003-04-17: Langen  Germany,nan,English
Of Sins and Shadows - 2003-04-17: Langen  Germany,nan,Smphony X,nan,nan,English
Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,nan
Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
Agents & Vesa Haaja - Apache (instrumental),182,nan,On Stage / In Studio,12,[Multiple languages]
011-Non ti dimentichero,4m 59sec,Gianni Morandi,Come fa bene l'amore (2000),nan,Ita.
***,212000,Wind Hearse,Witch's Arrows,nan,English
*** (Witch's Arrows),03:32,Wind Hearse,Witch's Arrows,nan,nan
Wind Hearse - ***,212,nan,Witch's Arrows,nan,English
001-Sunlight,3m 40sec,The One AM Radio,Heaven Is Attached by a Slender Thhread (2011),nan,Eng.
Disorsder - Unknown Pleasures,3.539,Joy Division,nan,'88,English
001-ZDisorder,3m 32sec,Joy Division,Uncknown Pleasures (1988),nan,Eng.
Bagad Roñsed-Mor - Gavoten Ar Vro Boulet,239,nan,Mega Celtique,6,English
Broken,263543,Amber Claire,Love and Such,2004,English
Coffin Nails - Daytime TV,175,nan,Out for the Weekend,1,English
004-DaytimeT V,2m 55sec,Coffin Nails,Out for the Weekend (2001),nan,Eng.
Daytime TV for the Weekend),02:55,Coffin Nails,Out for the Weekend,2001,nan
Daytime TV - Out for the Weekend,2.918,Coffin Nails Nails,nan,'01,English
Daytime TV,175066,Coffin Nails,Out for the Weekend,2001,English
Liquor Store Blues (Doo-Wops & Hooligans),03:49,Bruno Mars feat. Damian Marley,Doo-Wops & Hooligans,2011,nan
Ser Un Peyjalero - Peyjalero,148,nan,U,93,nEglish
Peyjalero - U,2.483,Ser Un Peyjalero,nan,'93,English
André HazesR - Ik ben een gokker,190,nan,De Hazes 100: Van de fans - Voor de fans,6,Dutch
Ik ben een gokker - De Hazes 100: Van de fans - Voor de fans,3.183,André Hazes,nan,'06,Dutch
Skit (Spürma (Puuhamaa skit)) (Runoja kontrollihuoneesta),00:32,Steen1,Runoja kontrollihuoneesta,2009,nan
Bloque Metafísico: La proporción y las distancias,158000,Macromassa,Los hechos Pérez,1993,Spanish
Chut,118373,Frederica von Stade,Canteloube : Chants d'Auvergne,nan,French
Chut  chut (Canteloube : Chants d'Auvergne),01:58,Frederica von Stade,Canteloube : Chants d'Auvergne,nan,nan
Oilean Draiochta,262000,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English
Melanie O'Reilly - Oilean Draiochta,262,nan,Celtic Spirit: Tales of the Soul,98,English
Oilean Draiochta (Celtic Spirit: Tales of the Soul),04:22,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,nan
Haste Suraj Ki - Dil Ka Rishta,1.535,Nadeem-Shravan,nan,'05,Hindi
006-Haste Suraj Ki,1m 32sec,Nadeem-Shravan,Dil Ka Rishta (2005),nan,Hin.
You (Russian Doll),04:59,Violet Indiana,Russian Doll,2004,nan
You - Russian Doll,4.992,Violet Indiana,nan,'04,English
Violet Indiana - You,299,nan,Russian Doll,4,English
Jacques Brel - Marieke,179,nan,Intégrale Grand Jacques  Volume 10 : Ne me quitte pas,88,French
Marieke - Intégrale Grand Jacques  Volume 10 : Ne me quitte pas,2.998,Jacques Brel,nan,'88,French
002-Marieke,2m 59sec,Jacques Brel,Integrale Grand Jacques  Vol. X : Ne me quitte pas  (1988),nan,Fre.
Lowland Trio - Van mij kan je de pot op,150,nan,Hollands Glorie: Lowland Trio,2,Dutch
Van mij kan je de pot op,150000,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth
Van mij kan je de pot op - Hollands Glorie: Lowland Trio,2.5,Lowland Trio,nan,'02,Dutch
Van mij kan je de pot op (Hollands Glorie: Lowland Trio),02:30,Lowland Trio,Hollands Glorie: Lowland Trrio,2002,nan
Megna's (Chameleon),03:52,Tim O’Brien,Chameleon,2008,nan
Tim O’Brien - Megna's,232,nan,Chameleon,8,English
011-You're the Only Good Thing (That's Happened to Me),unknown,Jim Reeves,40 Golden Greats (1975),nan,Eng.
You're the Only Good Thing (That's Happened to Me),nan,Jim Reeves,40 Golden Greats,1975,English
According to Me,nan,Mind the Gap,Make,2005,[Multiple languages]
According to Me (Make All the Kids Cry),00:00,Mind the Gap,Make All the Kids Cry,2005,nan
006-Nightline,3m 44sec,Randy Crawford,The Love Songs (unknown),nan,unknown
Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,1.217,Cherokee National Youth Choir,nan,'05,English
006-Hymn 48 (Jesus Is King),1m 13sec,Cherokee National Choir Youth,Cherokee Sunday Morning (2005),nan,EEng.
Sunday on My Mind (original mix),430897,Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,nan,English
Sunday on My Mind (original mix) (Berlin Afterhour 3 - From Minimal to Techno - From Electro to House),07:10,Daniel Stefanik,Berlin Afterhour 3 - From Minimal to Techno - From Electro to House,nan,nan
039-Sunday on My Mind (original mix),7m 10sec,Daniiel Stefanik,Berlin Afterhour 3 - From Minimal to Techno - From Electro to House (unknown),nan,Eng.
Daniel Stefanik - Sunday on My Mind Mind mix),430,nan,Berlin Afterhour 3 - From Minimal to Techno - From Electro to House,nan,English
Sunday on My Mind (original mix) - Berlin Afterhour 3 - From Minimal to Techno - From Electro to House,7.182,Daniel Stefanik,nan,nan,English
Eight Pieces for Flute Alone -- Rezitativ,84000,unk.,Mark Sparks flute with Clinton Adams piano,nan,nan
Eight Pieces for Flute Alone -- Rezitattiv (Mark Sparks flute with Clinton Adams piano),01:24,Paul Hindemith,Mark Sparks flute with Clinton Adams piano,nan,nan
We Are the Prisoners (Anthology),01:44,Kids,Anthology,2007,nan
Caedmon's Call - There's Only One (Holy One),222,nan,Share the Well,4,English
Endless Winter,443440,Marconi Union,A Lost Connection,2010,English
Too Far Gone,242000,The All‐American Rejects,Same Girl  New Songs,nan,English
Slow  Loud and Bangin' (S.L.A.B.ed) - Slow  Loud and Bangin'  Volume 4,5.617,Trae  Jay'Ton  Lil' B  Lil Boss  Billy Cook  Big Bee  Billy  Kepoe & Lil' T,nan,'04,English
Slow  Loud nd Bangin' (S.L.A.B.ed) (Slow  Loud and Bangin'  Volume 4),05:37,Trae  Jay'Ton  Lil' B  Lil Boss  Billy Cook  Big Bee  Billy  Kepoe & Lil' T,Slow  Loud and Bangin'  Volume 4,2004,nan
004-Slow  Loud and Bangin' (S.L.A.B.ed),5m 37sec,Trae  Jay'Ton  Lil' B  Lil Boss  Billy Cook  Big Bee  Billy  Kepoe & Lil' T,Slow  Loud and Bangin'  Vol. IV (2004),nan,Eng.
Slow  Loud and Bangin' (S.L.A.B.ed),337000,Trae  Jay'Ton  Lil' B  Lil Boss  Billy Cook  Big Bee  Billy  Kepoe & Lil' T,Slow  Loud and Bangin'  Volume 4,2004,English
Junior Crehan's / Junior Crejan's (flings),179000,The Mulcahy Family,The Mulcahy Family,2000,English
We  All Need Some Light,402000,Transatlantic,Live in Europe,2003,English
Xalm Retribution - Illusion of Love,313,nan,Illusion of Love,10,English
Closing - Urban Mantra,3.75,Wah!,nan,'02,English
Astronomy Domine - The Piper at the Gates of Dawn,4.202,Pink Floyd,nan,'87,English
Astronomy Domine (The Piper at the Gates of Dawn),04:12,Pink Floyd,The Piper atthe Gates of Dawn,1987,nan
Astronomy Domine,252093,Pink Floyd,The Piper at the Gates of Dawn,1987,English
Pink Floyd - Astronomy Domine,252,nan,The Piper at the Gates of Dawn,87,English
001-Astronomy Domine,4m 12sec,Pink Floyd,The Piper at the Gates of Dawn (1987),nan,Eng.
F004-Jouluohtu motisklus,unknown,Kadri Savva,Voluaeg (2011),nan,Est.
Symphonie Nr. 10 G-dur  KV 74: I. Allegro (Frühe Symphonien),03:05,Wolfgang Amadeus Mozart,Frühe Symphonien,1991,nan
Wolfgang Amadeus Mozart - Symphonie Nr. 10 G-dur  KV 74: I. Allegro,185,nan,Frühe Symphonien,91,English
Je me rappelle d’une époque - Suicide commercial,5.583,Vrai Ben feat. Yahlane,nan,'09,French
Rusalka  op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos  Requiem  Serenades & Slavonic Dances),06:20,Antonín Dvořák,100th Anniversary Edition: Concertos  Requiem  Serenades & Slavonic Dances,2004,nan
Antonín Dvořák - Rusalka  op. 114 B203: Song to the moon (Act I),380,nan,100th Anniversary Edition: Concertos  Requiem  Serenades & Slavonic Dances,4,English
016-Red-naped Sapsucker / Red-breasted Sapsucker,0m 58sec,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region (unknown),nan,unknown
Red-naped Sapsucker / Red-breasted Sapsucker (The Stokes Field Guide to Bird Songs: Western Region),00:58,Donald & Lillian Stokes with Kevin Colver,The The Stokes Field Guide to Bird Songs: Western Region,nan,nan
Donald & Lillian Stokes with Kevin Colver - Red-naped Sapsucker / Red-breasted Sapsucker,58,nan,The Stokes Field Guide to Bird Songs: Western Region,nan,nan
Red-naped Sapsucker / Red-breasted Sapsucker,58000,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region,nan,nan
Satellites & Sirens - Magnetic,202,nan,One Nosie,14,English
005-Magnetic,3m 22sec,Satellites & Sirens,One Noise (2014),nan,Eng.
Magnetic Magnetic - One Nosie,3.377,Satellites & Sirens,nan,'14,English
Black Tape for a Blue Girl - We Watched Our Sad-Eyed Angel Fall,329,nan,With a Million Tear-Stained Memories,3,English
007-When You're Smiling at Me,4m 28sec,Sly Blue,Edge of the World (2012),nan,Eng.
When You're Smiling at Me,268000,Sly Blue,Edge of the World,2012,English
Echo Elephant,286000,Luna Negra,Soundproof Demo,2009,English
Stars Are Blind (The Scumfrog's extreme makeover),nan,Paris Hilton,Stars Are Blind,2006,English
Stars Are Blind (The Scumfrog's extreme makeover),09:01,Paris Hilton,Are Blind,2006,nan
When the Summer Is Gone - I Can Jive - Det Bästa Med Jerry Williams,4.25,Jerry Williams,nan,'07,Eglish
005-When the Summer Is Gone,4m 15sec,Jerry Williams,I Can Jive - Det Basta Med Jerry Williams (2007),nan,Eng.
When the Summer Is Gone,255000,Jerry Williams,I Can Jive - Det Bästa Med Jerry Williams,2007,English
012-Always on Time,4m 5sec,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics (unknown),nan,Eng.
Always  on Time,245000,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics,nan,English
Patio Smasher,231706,Dirty South,"10q"" Dubplate Sessions",nan,Englzish
Rockin' Back Inside My Heart - Floating Into the Night,5.818,Julee Cruise,nan,nan,English
004-Rockin' Back Inside My Heart,5m 49sec,Julee ruise,Floating Into the Night (1989),nan,Esng.
"Arabella  Op. 79: Act II. ""Sie sehn nicht aus wie jemand"" - Arabella (Wiener Philharmoniker feat. conductor: Sir Georg Solti  soprano: Lisa della Casa)",1.367,Richard Strauss,nan,'98,English
Ultimate Angels (The Distance Between),02:27,Strange Advance,The Distance Between,nan,nan
Strange Advance - Ultimate Angels,147,nan,The Distance Between,nan,English
Three O'Clock in the Morning,342933,Dexter Gordon,The Classic Blue Note Recordings,2003,English
031-,1m 31sec,nan,-2009,nan,Jap.
Mennen - Power to the Bone,306,nan,Planet Black,nan,English
Power to the Bone - Planet Black,5.108,Mennen,nan,nan,English
003-Power to the Bone,5m 6sec,Mennen,Planet Black (unknown),nan,Eng.
What Is This Thing Called Love? - Cutting Edge 1 & 2,5.012,Delirious?,nan,'94,English
Unde rthe Sun - Modern,3.516,Buzzcocks,nan,'99,English
010-Under the Sun,3m 30sec,Buzzcocks,Modern (1999),nan,Eng.
Pout-Porri: Inigualável Paixão/Falsa Consideração,397000,Art Popular,Pagode pra Valer,1999,Portuguese
The Way We Get By - The O.C. - The Best of Season 1,nan,Spoon,nan,nan,English
008-The Way We Get By,unknown,Spoon,The O.C. - The Best of Season 1 (unknown),nan,Eng.
The Way Way Get By,nan,Spoon,The O.C. - The Best of Season 1,nan,English
008-Histoire De Famille,unknown,Dany Bedar,On A Tous Une Histoire A Conter (unknown),nan,Fre.
HistoireDeFamille(OnATousUneHistoireÀConter),00:00,Dany Bédar,On A Tous Une Histoire À Conter,nan,nan
Histoire De Famille,nan,Dany Bédar,On A Tous Une Histoire À Conter,nan,French
Dany Bédar - Histoire De Famille,nan,nan,On A Tous Une Histoire À Conter,nan,French
G.Rag y los Hermanos Patchekos - Blechernes G'lächter,134,nan,Cadeau bizarre,nan,[Multiple languages]
Ludwika: Prélude Opus 28 No.23 - The Four Elements: Water Sensuality,2.183,Hans Visser,nan,nan,nan
Prélude Opus 28 No.23 (The Four Elements: Water Sensuality),02:11,Hans Visser,The Four Elements: Water Sensuality,nan,nan
Ludwika: Prélude Opus 28 No.23,131000,Hans Visser,The Four Elements: Water Sensuality,nan,nan
011-Ludwika :Prelude Opus 28 No.23,2m 11sec,Hans Visser,The Four Elements: Water Sensuality (unknown),nan,uknnown
018-Daydream Believer,2m 56sec,The Residents,Residue deux (1998),nan,Eng.
The O'Jays - Let Me Make Love to You,218,nan,Between the Sheets  Volume 1,95,English
Let Me Make Love to You - Between the Sheets  Volume 1,3.633,O'Jays,nan,'95,English
If There Is No Tomorrow (remixed by CygnosiC) - The Grey Line,5.67,Wynardtage,nan,'08,English
013-If There Is No Tomorrow (remixed by CygnosiC),5m 40sec,Wynardtage,The Grey Line (2008),nan,Eng.
Malce It Happen,142000,The Get Set,Down Marriot Lane!,2002,English
Make It Happen (Down Marriot Lane!),02:22,Get Set,Marriot,2002,nan
Tuuli,209000,Skädmä,Mustat joutsenet,nan,Finnish
Tuuli (Mustat joutsenet),03:29,Skädäm,Mustat joutsenet,nan,nan
Sylvania,245360,Kelpe,Sea Inside Body,2004,English
Sylvania (Sea Inside Body),04:05,Kelpe,Sea Inside Body,2004,nan
Ghosttow - The Hearing and the Sense of Balance,4.05,Fury in the Slaughterhouse,nan,'95,English
Helb America,166000,Dan Bárta,Horem,nan,[Multiple languages]
Dan Bárta - Hello America,167,nan,Horem pádem,nan,[Multiple languages]
Hello America - Horem pádem,2.767,Dan Bárta,nan,nan,[Multiple langauges]
001-Hello America,2m 46sec,Dan Barta,Horem padem (unknown),nan,unknown
Hello America (Horem pádem),02:46,Dan Bárta,Horem pádem,nan,nan
Mad Props - My Ding-A-Ling,nan,nan,Best of Bass  Volume 3,94,English
Λαβωματιά (Στην ηχώ του έρωτα),04:04,Νότης Μαυρουδής,Στην ηχώ του έρωτα,2002,nan
Νότης Μαυρουδής - Λαβωματιά,244,nan,Στηνηχώτουέρωτα,2,Greek
On the Stairs - The Killer Elite,2.35,Jerry Fielding,nan,nan,English
On a Clear Day (Kiki's Delivery Service)),02:16,久石譲,Kiki's Delivery Service,nan,nan
On a Clear Day - Kiki's Delivery Service,2.267,久石譲,nan,nan,Engish
001-On a Claer Day,2m 16sec,nan,Kiki's Delivery Service (unknown),nan,Eng.
On a Clear Day,136026,久石譲,Kiki's_Delivery_Service,nan,English
久石譲 - On a Clear Day,136,nan,Kiki's Delivery Service,nan,English
Vergeet Het Maar - De Kreuners,4.343,De Kreuners,nan,nan,nan
Patricia Cornwell - 30 Knochenbett,529,nan,Knochenbett,nan,German
002-Abie Stracie,unknown,Like a Tim,Audio Art (unknown),nan,E.
kanashimi wo koete - D.N.Angel Original Soundtrack I,2.221,江口貴勅,nan,'03,Japanese
020-kanashimi wo koete,2m 13sec,nan,D.N.Angel Original Soundtrack I (2003),nan,Jap.
If - Tesla,3.987,Silver Rocket,nan,'08,English
007-If,3m 59sec,Silver Rocket,Tesla (2008),nan,Eng.
If,239226,Silver Rocket,Tesla,2008,English
On the Bank,189906,Rude-Rich-and-the-High-Notes,Soul Stomp,nan,unk.
Rude Rich and the High Notes - On the Bank,189,nan,Soul Stomp,nan,English
On the Bank (Soul Stomp),03:09,Rude Rich and the High Notes,Soul Stomp,nan,nan
On the Bank - Soul Stomp,3.165,Rude Rich and the High Notes,nan,nan,English
004-On the Bank,3m 9sec,Rude Rich and the High Notes,Soul Stomp (unknown),nan,Eng.
Dubok - Immersed,307,nan,Immersed,0,English
