TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
10409,24,2,5,15810515,7,À Tout À L'Heure,240000,Bibio,Ministry of Sound: Chillout Sessions XVI,2013,English
44,25,1,3,23433710MB-01,2,Fried Bananas - Live at the Amsterdam Paradiso,12.3,Dexter Gordon,,'94,English
8008,25,2,4,75912-A035,2,002-Fried Bananas,12m 18sec,Dexter Gordon,Live at the Amsterdam Paradiso (1994),,Eng.
9973,25,3,5,5389754,2,Fried Bananas,738000,Dexter Gordon,Live at the Amsterdam Paradiso,1994,English
46,26,1,2,MBox30957614-HH,13,Amikaeyla and Trelawny Rose - Wonderful World,333,,"To Eva, With Love",11,English
18414,26,2,3,49801322MB-01,13,"Wonderful World - To Eva, With Love",5.55,Amikaeyla and Trelawny Rose,,'11,English
51,28,1,5,3223149,6,hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,,
5706,28,2,1,WoM6446315,6,Wheels of Fire (Saints & Sinners),03:50,Saints & Sinners,Saints & Sinners,,
11687,28,5,4,45396-A066,6,006- of Fire,3m 50sec,Saints & Sinners,Saints & Sinners (unknown),,
14874,28,4,3,1401375MB-01,6,Whe els of Fire - Saints & Sinners,3.848,Saints & Sinners,,,
17137,28,3,2,MBox8711217-HH,6,Saints & Sinners - Wheels of Fire,230,,Saints & Sinners,,
64,33,1,5,9304319,33,Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,,Englih
18246,33,2,1,WoM18608635,33,Sea Breeze (full mix) (Massive - Rock/Pop),00:30,Frank Burgo & David Haig,Massive - Rock/Pop,,
65,34,1,3,50078912MB-01,7,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,Gabriel Pierné,,'98,Engilsh
2116,34,2,4,162227-A068,7,007-Introduction et Variations sur une Ronde Populaire,8m 32sec,Gabriel Pierne,Encore! (1998),,Eng.
6739,34,3,5,11518152,7,Introduction et Variations sur une Ronde Populaire,512533,Gabriel Pierén,Encore!,1998,English
72,37,1,2,MBox30985734-HH,12,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
8361,37,4,5,11464731,12,La distancia es como el viento,240000,Domenico Modugno,Románticos Inolvidables Vol 2,,Spanish
13214,37,2,3,49846620MB-01,12,La distancia es como el viento - Románticos Inolvidables Vol 2,4,Domenico Modugno,,,Spanish
15417,37,3,4,161475-A039,12,012-La distancia es como el viento,4m 0sec,Domenico Modugno,Romanticos Inolvidables Vol 2 (unknown),,Spa.
17391,37,5,1,WoM22929447,12,La distancia es como el viento (Románticos Inolvidables Vol 2),04:00,Domenico Modugno,Románticos Inolvidables Vol 2,,
75,38,1,2,MBox24013630-HH,2,Lark Daddy - Flip Flop,270,,Eleven Phases: Detroit Compilation,98,English
16071,38,2,3,38630619MB-01,2,Flip Flop - Eleven Phases: Detroit Compilation,4.5,Lark Daddy,,'98,English
76,39,1,1,WoM16015840,8,'Pines of Rome' - The Pines of the Villa Borghese (Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995),02:42,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,
17991,39,2,2,MBox21643026-HH,8,Ottorino Respighi - 'Pines of Rome' - The Pines of the Villa BorghesRe,162,,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,95,English
80,41,1,4,61084-A067,6,005-Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,6m 42sec,Ella Fitzgerald,30 by Ella (1999),,Eng.
15382,41,2,5,4336998,5,Candy / All I Do Is Dream of You / Spring Is Here / 720 in the Books / It Happened in Monterey / What Can I Say After I Say I'm Sorry,402840,Ella Fitzgerald,30 by Ella,1999,English
81,42,1,2,MBox42285135-HH,B1,Uriah Heep - Southern Star,266,,Into the Wild,11,English
6360,42,3,4,220359-A054,B1,0B1-Southern Star,4m 26sec,Heep Uriah,Into the Wild (2011),,Eng.
9489,42,2,3,68023920MB-01,B1,Southern Star - Into the Wild,4.433,Uriah Heep,,'11,English
14067,42,4,5,15645510,B1,Southern Star,266000,,Into the Wild,2011,English
16469,42,5,1,WoM31291026,0B1,Southern Star (Into the Wild),04:26,Uriah Heep,Into the Wild,2011,
83,43,1,2,MBox1321164-HH,8,Guns N’ Roses - Estranged,681,,Revolution Calling,91,English
2189,43,2,3,2125349MB-01,8,Estranged - Revolution Calling,11.35,Guns N’ Roses,,'91,English
95,48,1,4,33945-A032,11,011-Easter Processions: Hymne,2m 41sec,[religious music],The Inspiration f Gregorian Chant (1995),,Lat.
1767,48,3,1,WoM4820210,11,Easter Processions: Hymne (The Inspiration of Gregorian Chant),02:41,[religious music],The Inspiration of Gregorian Chant,1995,
7618,48,2,5,2410094,11,EasterProcessions:Hymne,161560,[religious music],The Inspiration of Gregorian Chant,1995,Latin
96,49,1,5,1915738,4,Red Chips,330946,,The Working Model (Reverse),2003,English
4533,49,3,2,MBox517771-HH,4,Boytronic - Red Chips,330,,The Working Model (Reverse),3,English
14884,49,2,1,WoM383154,4,Red Chips (The Working Model (Reverse)),05:30,Boytronic,The Working Model (Reverse),2003,
98,50,1,3,49491218MB-01,10,Mi apuesta - Es,4.283,Eruca Sativa,,'10,Spanish
11351,50,2,4,160324-A016,10,010-Mi apuesta,4m 17sec,Eruca Sativa,Es (2010),,Spa.
107,53,1,4,79094-A031,3,003-Jayne,3m 37sec,Stereophonics,The Sunday Times: The State of Independence - V2 (2007),,Eng.
6194,53,3,1,WoM11231338,3,Jayne (The Sunday Times: The State of Independence - V2),03:37,Stereophonics,Sunday Times: The State of Independence - V2,2007,
6706,53,2,5,5615672,3,Jayne,217493,Stereophonics,The Sunday Times: The State of Independence - V2,2007,Englis
16168,53,4,2,MBox1517759-HH,3,Stereophonics---Jayne,217,,The Sunday Times :The State of Independence - V2,7,English
109,54,1,3,5332310MB-01,2,Why Not - The Lizzi eMcGuire Movie,2.981,Hilary Duff,,' 03,English
8013,54,2,4,17274-A011,1,001-Why_Not,2m 58sec,Hilary Duff,The Lizzie McGuire Movie (2003),,Eng.
11951,54,3,5,1226432,1,Why Not,178866,Hilary Duff,The Lizzie McGuire Movie,2003,Eglish
110,55,1,4,17735-A045,1,001-Nation of Sorrow,unknown,Battle Zone,Arson Around With Matches (unknown),,Eng.
16374,55,2,5,1259197,1,Nation of Sorrow,,Battle Zone,Arson Around With Matches,,English
117,58,1,2,MBox30010412-HH,1,Molly Half Head - Vivid Whitsun,276,,Sulk,93,English
8050,58,4,5,11103848,1,Vivid Whitsun,276000,Molly Half Head,Sulk,1993,Englihs
11796,58,2,3,4827767MB-01,1,Vivid Whitsun - Sulk,4.6,Molly Half Head,,'93,English
12468,58,5,1,WoM22207714,1,Vivid Whitsun (Sulk),04:36,Molly Half Head,Sulk,1993,
18382,58,3,4,156392-A049,1,001-Vivid Whitsun,4m 36sec,Molly Half Head,Sulk (1993),,Eng.
118,59,1,5,7972929,5,Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
7918,59,5,4,112295-A017,5,005-Nefes (live in Bodrum),7m 0sec,Telvin,Telvin (2006),,Tur.
11042,59,4,3,3466499MB-01,5,Nefes (live in Bodrum) - Telvin,7,Telvin,,'06,Turkish
11071,59,2,1,WoM15945845,5,Nefes (live in Bodrum) (Telvin),07:00,Telvin,Telvin,1996,
18822,59,3,2,MBox21548433-HH,5,Telvin - Nefes (live in Bodrum),420,,Telvin,6,Turkish
120,61,1,4,95960-A037,1,001-Stronger Woman,4m 2sec,Jewel,Perfectly Clear (2008),,Eng.
7218,61,2,5,6813164,1,Stronger Woman,242693,Jewel,Perfectly Clear,2008,English
126,64,1,2,MBox700286-HH,9,Symphony X - Of Sins and Shadows,,,"2003-04-17: Langen, Germany",,English
16810,64,2,3,11265318MB-01,9,"Of Sins and Shadows - 2003-04-17: Langen, Germany",,Smphony X,,,English
92,65,2,1,WoM26714621,11,Apache (instrumental) (On Stage / In Studio),03:02,On Stage / In Studio,On Stage / In Studio,2012,
127,65,1,5,13357305,11,Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
14111,65,3,2,MBox36100821-HH,11,Agents & Vesa Haaja - Apache (instrumental),182,,On Stage / In Studio,12,[Multiple languages]
133,67,1,5,14142848,10,***,212000,Wind Hearse,Witch's Arrows,,English
2546,67,2,1,WoM28285714,10,*** (Witch's Arrows),03:32,Wind Hearse,Witch's Arrows,,
11297,67,3,2,MBox38223917-HH,10,Wind Hearse - ***,212,,Witch's Arrows,,English
140,69,1,3,53398811MB-01,1,Disorsder - Unknown Pleasures,3.539,Joy Division,,'88,English
12670,69,2,4,172982-A039,1,001-ZDisorder,3m 32sec,Joy Division,Uncknown Pleasures (1988),,Eng.
144,72,1,2,MBox1062975-HH,4,Coffin Nails - Daytime TV,175,,Out for the Weekend,1,English
3297,72,3,4,55394-A041,4,004-DaytimeT V,2m 55sec,Coffin Nails,Out for the Weekend (2001),,Eng.
3417,72,5,1,WoM7865948,3,Daytime TV for the Weekend),02:55,Coffin Nails,Out for the Weekend,2001,
6134,72,2,3,17099912MB-01,4,Daytime TV - Out for the Weekend,2.918,Coffin Nails Nails,,'01,English
8913,72,4,5,3932982,4,Daytime TV,175066,Coffin Nails,Out for the Weekend,2001,English
149,74,1,2,MBox28273911-HH,6,Ser Un Peyjalero - Peyjalero,148,,U,93,nEglish
1825,74,2,3,4548416MB-01,6,Peyjalero - U,2.483,Ser Un Peyjalero,,'93,English
153,75,1,2,MBox17716433-HH,14,André HazesR - Ik ben een gokker,190,,De Hazes 100: Van de fans - Voor de fans,6,Dutch
9668,75,2,3,2850044MB-01,14,Ik ben een gokker - De Hazes 100: Van de fans - Voor de fans,3.183,André Hazes,,'06,Dutch
157,78,1,5,4404827,n.a.,Chut,118373,Frederica von Stade,Canteloube : Chants d'Auvergne,,French
18203,78,2,1,WoM8809643,10,"Chut, chut (Canteloube : Chants d'Auvergne)",01:58,Frederica von Stade,Canteloube : Chants d'Auvergne,,
158,79,1,5,5542698,3,Oilean Draiochta,262000,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English
7671,79,3,2,MBox14980236-HH,3,Melanie O'Reilly - Oilean Draiochta,262,,Celtic Spirit: Tales of the Soul,98,English
18709,79,2,1,WoM11085414,3,Oilean Draiochta (Celtic Spirit: Tales of the Soul),04:22,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,
161,80,1,3,14157622MB-01,6,Haste Suraj Ki - Dil Ka Rishta,1.535,Nadeem-Shravan,,'05,Hindi
1373,80,2,4,45863-A023,6,006-Haste Suraj Ki,1m 32sec,Nadeem-Shravan,Dil Ka Rishta (2005),,Hin.
163,81,1,1,WoM436798,6,You (Russian Doll),04:59,Violet Indiana,Russian Doll,2004,
13327,81,3,3,n.a.,6,You - Russian Doll,4.992,Violet Indiana,,'04,English
14818,81,2,2,MBox5902529-HH,6,Violet Indiana - You,299,,Russian Doll,4,English
166,82,1,2,MBox4386531-HH,2,Jacques Brel - Marieke,179,,"Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",88,French
2380,82,2,3,7056613MB-01,2,"Marieke - Intégrale Grand Jacques, Volume 10 : Ne me quitte pas",2.998,Jacques Brel,,'88,French
18232,82,3,4,22859-A068,2,002-Marieke,2m 59sec,Jacques Brel,"Integrale Grand Jacques, Vol. X : Ne me quitte pas  (1988)",,Fre.
43,83,3,2,MBox16900513-HH,,Lowland Trio - Van mij kan je de pot op,150,,Hollands Glorie: Lowland Trio,2,Dutch
168,83,1,5,6253186,8,Van mij kan je de pot op,150000,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth
18626,83,4,3,27187722MB-01,8,Van mij kan je de pot op - Hollands Glorie: Lowland Trio,2.5,Lowland Trio,,'02,Dutch
18846,83,2,1,WoM1250642,8,Van mij kan je de pot op (Hollands Glorie: Lowland Trio),02:30,Lowland Trio,Hollands Glorie: Lowland Trrio,2002,
170,84,1,1,WoM14513028,6,Megna's (Chameleon),03:52,Tim O’Brien,Chameleon,2008,
11989,84,2,2,MBox19612210-HH,6,Tim O’Brien - Megna's,232,,Chameleon,8,English
172,85,1,4,175091-A050,11,011-You're the Only Good Thing (That's Happened to Me),unknown,Jim Reeves,40 Golden Greats (1975),,Eng.
1311,85,2,5,12431478,11,You're the Only Good Thing (That's Happened to Me),,Jim Reeves,40 Golden Greats,1975,English
173,86,1,5,5168508,3,According to Me,,Mind the Gap,Make,2005,[Multiple languages]
11886,86,2,1,WoM10337024,3,According to Me (Make All the Kids Cry),00:00,Mind the Gap,Make All the Kids Cry,2005,
176,88,1,3,4817247MB-01,6,Hymn 48 (Jesus Is King) - Cherokee Sunday Morning,1.217,Cherokee National Youth Choir,,'05,English
4519,88,2,4,156051-A064,6,006-Hymn 48 (Jesus Is King),1m 13sec,Cherokee National Choir Youth,Cherokee Sunday Morning (2005),,EEng.
179,89,1,5,15919255,39,Sunday on My Mind (original mix),430897,Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,,English
10930,89,2,1,WoM31838521,39,Sunday on My Mind (original mix) (Berlin Afterhour 3 - From Minimal to Techno - From Electro to House),07:10,Daniel Stefanik,Berlin Afterhour 3 - From Minimal to Techno - From Electro to House,,
11536,89,5,4,224215-A023,39,039-Sunday on My Mind (original mix),7m 10sec,Daniiel Stefanik,Berlin Afterhour 3 - From Minimal to Techno - From Electro to House (unknown),,Eng.
13184,89,3,2,MBox43025017-HH,39,Daniel Stefanik - Sunday on My Mind Mind mix),430,,Berlin Afterhour 3 - From Minimal to Techno - From Electro to House,,English
18943,89,4,3,69214119MB-01,39,Sunday on My Mind (original mix) - Berlin Afterhour 3 - From Minimal to Techno - From Electro to House,7.182,Daniel Stefanik,,,English
181,90,1,5,10987166,10,Eight Pieces for Flute Alone -- Rezitativ,84000,unk.,Mark Sparks flute with Clinton Adams piano,,
1501,90,2,1,WoM21974332,10,Eight Pieces for Flute Alone -- Rezitattiv (Mark Sparks flute with Clinton Adams piano),01:24,Paul Hindemith,Mark Sparks flute with Clinton Adams piano,,
191,95,1,3,56902011MB-01,4,"Slow, Loud and Bangin' (S.L.A.B.ed) - Slow, Loud and Bangin', Volume 4",5.617,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T",,'04,English
4806,95,4,1,WoM26174930,4,"Slow, Loud nd Bangin' (S.L.A.B.ed) (Slow, Loud and Bangin', Volume 4)",05:37,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T","Slow, Loud and Bangin', Volume 4",2004,
4810,95,2,4,184330-A067,4,"004-Slow, Loud and Bangin' (S.L.A.B.ed)",5m 37sec,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T","Slow, Loud and Bangin', Vol. IV (2004)",,Eng.
13102,95,3,5,13087464,4,"Slow, Loud and Bangin' (S.L.A.B.ed)",337000,"Trae, Jay'Ton, Lil' B, Lil Boss, Billy Cook, Big Bee, Billy, Kepoe & Lil' T","Slow, Loud and Bangin', Volume 4",2004,English
199,100,1,3,21514MB-01,1,Astronomy Domine - The Piper at the Gates of Dawn,4.202,Pink Floyd,,'87,English
5119,100,4,1,WoM9918,1,Astronomy Domine (The Piper at the Gates of Dawn),04:12,Pink Floyd,The Piper atthe Gates of Dawn,1987,
6417,100,3,5,4952,1,Astronomy Domine,252093,Pink Floyd,The Piper at the Gates of Dawn,1987,English
8052,100,5,2,MBox1346-HH,1,Pink Floyd - Astronomy Domine,252,,The Piper at the Gates of Dawn,87,English
13210,100,2,4,70-A015,1,001-Astronomy Domine,4m 12sec,Pink Floyd,The Piper at the Gates of Dawn (1987),,Eng.
203,102,1,1,WoM24455022,1,"Symphonie Nr. 10 G-dur, KV 74: I. Allegro (Frühe Symphonien)",03:05,Wolfgang Amadeus Mozart,Frühe Symphonien,1991,
6832,102,2,2,MBox33047317-HH,1,"Wolfgang Amadeus Mozart - Symphonie Nr. 10 G-dur, KV 74: I. Allegro",185,,Frühe Symphonien,91,English
208,104,1,1,WoM3102839,10,"Rusalka, op. 114 B203: Song to the moon (Act I) (100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances)",06:20,Antonín Dvořák,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",2004,
9991,104,2,2,MBox41930118-HH,10,"Antonín Dvořák - Rusalka, op. 114 B203: Song to the moon (Act I)",380,,"100th Anniversary Edition: Concertos, Requiem, Serenades & Slavonic Dances",4,English
210,105,1,4,191714-A018,16,016-Red-naped Sapsucker / Red-breasted Sapsucker,0m 58sec,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region (unknown),,unknown
1340,105,3,1,WoM27223345,16,Red-naped Sapsucker / Red-breasted Sapsucker (The Stokes Field Guide to Bird Songs: Western Region),00:58,Donald & Lillian Stokes with Kevin Colver,The The Stokes Field Guide to Bird Songs: Western Region,,
10560,105,4,2,MBox36788320-HH,16,Donald & Lillian Stokes with Kevin Colver - Red-naped Sapsucker / Red-breasted Sapsucker,58,,The Stokes Field Guide to Bird Songs: Western Region,,
19192,105,2,5,13611679,16,Red-naped Sapsucker / Red-breasted Sapsucker,58000,Donald & Lillian Stokes with Kevin Colver,The Stokes Field Guide to Bird Songs: Western Region,,
211,106,1,2,MBox4393686-HH,5,Satellites & Sirens - Magnetic,202,,One Nosie,14,English
8792,106,3,4,228966-A057,5,005-Magnetic,3m 22sec,Satellites & Sirens,One Noise (2014),,Eng.
15728,106,2,3,70680910MB-01,5,Magnetic Magnetic - One Nosie,3.377,Satellites & Sirens,,'14,English
214,108,1,4,212822-A033,7,007-When You're Smiling at Me,4m 28sec,Sly Blue,Edge of the World (2012),,Eng.
4764,108,2,5,15110362,7,When You're Smiling at Me,268000,Sly Blue,Edge of the World,2012,English
218,110,1,5,12332119,6,Stars Are Blind (The Scumfrog's extreme makeover),,Paris Hilton,Stars Are Blind,2006,English
2152,110,2,1,WoM24664235,6,Stars Are Blind (The Scumfrog's extreme makeover),09:01,Paris Hilton,Are Blind,2006,
219,111,1,3,52597021MB-01,5,When the Summer Is Gone - I Can Jive - Det Bästa Med Jerry Williams,4.25,Jerry Williams,,'07,Eglish
3854,111,2,4,170385-A022,5,005-When the Summer Is Gone,4m 15sec,Jerry Williams,I Can Jive - Det Basta Med Jerry Williams (2007),,Eng.
13989,111,3,5,12097324,5,When the Summer Is Gone,255000,Jerry Williams,I Can Jive - Det Bästa Med Jerry Williams,2007,English
220,112,1,4,228882-A057,12,012-Always on Time,4m 5sec,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics (unknown),,Eng.
12585,112,2,5,16250646,12,Always  on Time,245000,Ja Rule feat. Ashanti,Hip Hop - The Collection: The Classics,,English
222,114,1,3,1663521MB-01,4,Rockin' Back Inside My Heart - Floating Into the Night,5.818,Julee Cruise,,,English
9144,114,2,4,5389-A033,4,004-Rockin' Back Inside My Heart,5m 49sec,Julee ruise,Floating Into the Night (1989),,Esng.
225,116,1,1,WoM1149708,10,Ultimate Angels (The Distance Between),02:27,Strange Advance,The Distance Between,,
17229,116,2,2,MBox15536436-HH,10,Strange Advance - Ultimate Angels,147,,The Distance Between,,English
229,119,1,2,MBox33061010-HH,3,Mennen - Power to the Bone,306,,Planet Black,,English
12197,119,2,3,5318512MB-01,3,Power to the Bone - Planet Black,5.108,Mennen,,,English
18367,119,3,4,172290-A011,3,003-Power to the Bone,5m 6sec,Mennen,Planet Black (unknown),,Eng.
233,121,1,3,506816MB-01,10,Unde rthe Sun - Modern,3.516,Buzzcocks,,'99,English
7057,121,2,4,1642-A024,10,010-Under the Sun,3m 30sec,Buzzcocks,Modern (1999),,Eng.
238,123,1,3,16732521MB-01,8,The Way We Get By - The O.C. - The Best of Season 1,,Spoon,,,English
15765,123,2,4,54204-A038,unknown,008-The Way We Get By,unknown,Spoon,The O.C. - The Best of Season 1 (unknown),,Eng.
18117,123,3,5,3848489,8,The Way Way Get By,,Spoon,The O.C. - The Best of Season 1,,English
241,124,1,4,225982-A057,8,008-Histoire De Famille,unknown,Dany Bedar,On A Tous Une Histoire A Conter (unknown),,Fre.
6529,124,3,1,WoM32089512,8,HistoireDeFamille(OnATousUneHistoireÀConter),00:00,Dany Bédar,On A Tous Une Histoire À Conter,,
6759,124,2,5,16044746,8,Histoire De Famille,,Dany Bédar,On A Tous Une Histoire À Conter,,French
12215,124,4,2,MBox4336424-HH,8,Dany Bédar - Histoire De Famille,,,On A Tous Une Histoire À Conter,,French
243,126,1,3,61763822MB-01,11,Ludwika: Prélude Opus 28 No.23 - The Four Elements: Water Sensuality,2.183,Hans Visser,,,
3341,126,4,1,WoM2841145,11,Prélude Opus 28 No.23 (The Four Elements: Water Sensuality),02:11,Hans Visser,The Four Elements: Water Sensuality,,
16429,126,3,5,14205689,11,Ludwika: Prélude Opus 28 No.23,131000,Hans Visser,The Four Elements: Water Sensuality,,
19225,126,2,4,200080-A042,11,011-Ludwika :Prelude Opus 28 No.23,2m 11sec,Hans Visser,The Four Elements: Water Sensuality (unknown),,uknnown
246,128,1,2,MBox28258827-HH,2,The O'Jays - Let Me Make Love to You,218,,"Between the Sheets, Volume 1",95,English
6283,128,2,3,4545991MB-01,2,"Let Me Make Love to You - Between the Sheets, Volume 1",3.633,O'Jays,,'95,English
248,129,1,3,45097720MB-01,13,If There Is No Tomorrow (remixed by CygnosiC) - The Grey Line,5.67,Wynardtage,,'08,English
12976,129,2,4,146091-A056,13,013-If There Is No Tomorrow (remixed by CygnosiC),5m 40sec,Wynardtage,The Grey Line (2008),,Eng.
249,130,1,5,5698222,3,Malce It Happen,142000,The Get Set,Down Marriot Lane!,2002,English
10798,130,2,1,WoM11396438,2,Make It Happen (Down Marriot Lane!),02:22,Get Set,Marriot,2002,
250,131,1,5,13094555,B2,Tuuli,209000,Skädmä,Mustat joutsenet,,Finnish
13081,131,2,1,WoM26189121,0B2,Tuuli (Mustat joutsenet),03:29,Skädäm,Mustat joutsenet,,
252,132,1,5,3068628,13,Sylvania,245360,Kelpe,Sea Inside Body,2004,English
2193,132,2,1,WoM6137244,13,Sylvania (Sea Inside Body),04:05,Kelpe,Sea Inside Body,2004,
256,134,1,5,15591218,1,Helb America,166000,Dan Bárta,Horem,,[Multiple languages]
3457,134,3,2,MBox42138422-HH,1,Dan Bárta - Hello America,167,,Horem pádem,,[Multiple languages]
7381,134,4,3,6778798MB-01,1,Hello America - Horem pádem,2.767,Dan Bárta,,,[Multiple langauges]
11713,134,5,4,219595-A06,1,001-Hello America,2m 46sec,Dan Barta,Horem padem (unknown),,unknown
12876,134,2,1,WoM31182434,1,Hello America (Horem pádem),02:46,Dan Bárta,Horem pádem,,
259,136,1,1,WoM18908840,1,Λαβωματιά (Στην ηχώ του έρωτα),04:04,Νότης Μαυρουδής,Στην ηχώ του έρωτα,2002,
16957,136,2,2,MBox25552511-HH,2,Νότης Μαυρουδής - Λαβωματιά,244,,Στηνηχώτουέρωτα,2,Greek
262,138,1,1,WoM1900538,1,On a Clear Day (Kiki's Delivery Service)),02:16,久石譲,Kiki's Delivery Service,,
7345,138,3,3,4131611MB-01,1,On a Clear Day - Kiki's Delivery Service,2.267,久石譲,,,Engish
11706,138,4,4,,1,001-On a Claer Day,2m 16sec,,Kiki's Delivery Service (unknown),,Eng.
15601,138,5,5,950272,1,On a Clear Day,136026,久石譲,Kiki's_Delivery_Service,,English
17507,138,2,2,MBox2568313-HH,1,久石譲 - On a Clear Day,136,,Kiki's Delivery Service,,English
268,142,1,3,8701521MB-01,20,kanashimi wo koete - D.N.Angel Original Soundtrack I,2.221,江口貴勅,,'03,Japanese
13781,142,2,4,28188-A044,20,020-kanashimi wo koete,2m 13sec,,D.N.Angel Original Soundtrack I (2003),,Jap.
